Human Signaling Network,16-Jan-14,,,
5260,PHKG1,810,CALML3,Phy
7321,UBE2D1,51433,ANAPC5,Phy
1437,CSF2,5328,PLAU,Pos
6129,RPL7,6203,RPS9,Phy
2768,GNA12,27128,CYTH4,Pos
596,BCL2,3164,NR4A1,Phy
3643,INSR,2887,GRB10,Phy
7124,TNF,3290,HSD11B1,Pos
3381,IBSP,8516,ITGA8,Pos
6256,RXRA,5916,RARG,Neg
7471,WNT1,8312,AXIN1,Phy
177,AGER,3684,ITGAM,Phy
5568,PRKACG,5747,PTK2,Neg
4149,MAX,332,BIRC5,Pos
51588,PIAS4,6772,STAT1,Phy
5894,RAF1,7534,YWHAZ,Pos
55742,PARVA,5829,PXN,Phy
2185,PTK2B,4067,LYN,Pos
80086,TUBA4B,81027,TUBB1,Phy
5331,PLCB3,815,CAMK2A,Phy
9170,LPAR2,2549,GAB1,Pos
149233,IL23R,4843,NOS2,Pos
1956,EGFR,3913,LAMB2,Pos
867,CBL,5906,RAP1A,Pos
9475,ROCK2,57477,SHROOM4,Pos
9861,PSMD6,1017,CDK2,Pos
5432,POLR2C,5435,POLR2F,Phy
4607,MYBPC3,4624,MYH6,Phy
2932,GSK3B,64764,CREB3L2,Neg
3082,HGF,3589,IL11,Pos
19,ABCA1,345,APOC3,Pos
701,BUB1B,29882,ANAPC2,Neg
5737,PTGFR,2769,GNA15,Pos
329,BIRC2,7323,UBE2D3,Phy
3133,HLA-E,450093,LNCR1,Pos
3921,RPSA,6170,RPL39,Phy
2257,FGF12,3480,IGF1R,Pos
329,BIRC2,840,CASP7,Neg
2965,GTF2H1,2968,GTF2H4,Phy
6143,RPL19,6175,RPLP0,Phy
5156,PDGFRA,2247,FGF2,Pos
9149,DYRK1B,4088,SMAD3,Pos
5293,PIK3CD,3702,ITK,Pos
7040,TGFB1,7057,THBS1,Pos
2781,GNAZ,5599,MAPK8,Pos
835,CASP2,1982,EIF4G2,Pos
26234,FBXL5,8841,HDAC3,Pos
3921,RPSA,6157,RPL27A,Phy
5568,PRKACG,5573,PRKAR1A,Phy
23529,CLCF1,1271,CNTFR,Pos
4763,NF1,3845,KRAS,Neg
5518,PPP2R1A,1111,CHEK1,Neg
55755,CDK5RAP2,9814,SFI1,Phy
10197,PSME3,51343,FZR1,Pos
11267,SNF8,27243,CHMP2A,Phy
926,CD8B,5777,PTPN6,Pos
5467,PPARD,126129,CPT1C,Pos
6288,SAA1,4353,MPO,Neg
3937,LCP2,9402,GRAP2,Phy
387,RHOA,7430,EZR,Pos
11221,DUSP10,5602,MAPK10,Neg
1457,CSNK2A1,7535,ZAP70,Pos
8543,LMO4,8554,PIAS1,Neg
7468,WHSC1,3065,HDAC1,Pos
4087,SMAD2,9972,NUP153,Phy
9379,NRXN2,54413,NLGN3,Pos
1454,CSNK1E,2932,GSK3B,Phy
3655,ITGA6,3691,ITGB4,Phy
100133941,CD24,6403,SELP,Pos
948,CD36,1432,MAPK14,Pos
1399,CRKL,11184,MAP4K1,Pos
3606,IL18,3620,IDO1,Pos
5533,PPP3CC,8697,CDC23,Pos
2187,FANCB,2188,FANCF,Pos
23198,PSME4,29979,UBQLN1,Phy
6781,STC1,7124,TNF,Neg
9748,SLK,5347,PLK1,Pos
655,BMP7,4090,SMAD5,Pos
9252,RPS6KA5,2115,ETV1,Pos
5599,MAPK8,23164,MPRIP,Neg
2254,FGF9,2885,GRB2,Phy
6132,RPL8,6207,RPS13,Phy
6850,SYK,10376,TUBA1B,Pos
5347,PLK1,3297,HSF1,Pos
7040,TGFB1,6711,SPTBN1,Pos
23291,FBXW11,79791,FBXO31,Phy
414062,CCL3L3,643,CXCR5,Pos
1272,CNTN1,4851,NOTCH1,Phy
2289,FKBP5,6885,MAP3K7,Phy
58,ACTA1,88,ACTN2,Phy
3040,HBA2,6158,RPL28,Phy
5566,PRKACA,10733,PLK4,Phy
4893,NRAS,5291,PIK3CB,Phy
2035,EPB41,2890,GRIA1,Pos
23598,PATZ1,367,AR,Phy
4609,MYC,4683,NBN,Pos
1453,CSNK1D,9814,SFI1,Phy
6885,MAP3K7,84433,CARD11,Phy
54331,GNG2,5331,PLCB3,Pos
7048,TGFBR2,127933,UHMK1,Pos
2782,GNB1,6387,CXCL12,Neg
3535,IGL@,4036,LRP2,Pos
348995,NUP43,81929,SEH1L,Phy
722,C4BPA,4790,NFKB1,Pos
6883,TAF12,6875,TAF4B,Phy
2782,GNB1,5029,P2RY2,Phy
5725,PTBP1,1977,EIF4E,Phy
406,ARNTL,8864,PER2,Pos
9794,MAML1,2625,GATA3,Pos
5711,PSMD5,5717,PSMD11,Phy
8491,MAP4K3,10746,MAP3K2,Pos
6218,RPS17,6202,RPS8,Phy
1850,DUSP8,1432,MAPK14,Neg
7531,YWHAE,23332,CLASP1,Phy
3329,HSPD1,54209,TREM2,Pos
843,CASP10,356,FASLG,Phy
1496,CTNNA2,9414,TJP2,Phy
6957,TRB@,915,CD3D,Phy
486,FXYD2,2939,GSTA2,Pos
5573,PRKAR1A,7430,EZR,Phy
6772,STAT1,9655,SOCS5,Pos
29780,PARVB,3688,ITGB1,Phy
4214,MAP3K1,1452,CSNK1A1,Neg
8899,PRPF4B,64121,RRAGC,Pos
5879,RAC1,1893,ECM1,Pos
7840,ALMS1,8636,SSNA1,Phy
6714,SRC,50807,ASAP1,Pos
6729,SRP54,6727,SRP14,Pos
6193,RPS5,6218,RPS17,Phy
3065,HDAC1,11317,RBPJL,Neg
29851,ICOS,5290,PIK3CA,Pos
1017,CDK2,990,CDC6,Neg
6354,CCL7,10803,CCR9,Pos
917,CD3G,5781,PTPN11,Neg
9861,PSMD6,6500,SKP1,Pos
5568,PRKACG,10488,CREB3,Pos
5575,PRKAR1B,9368,SLC9A3R1,Phy
6370,CCL25,1235,CCR6,Pos
51433,ANAPC5,6790,AURKA,Pos
2887,GRB10,5290,PIK3CA,Pos
658,BMPR1B,11035,RIPK3,Pos
6224,RPS20,6227,RPS21,Phy
23658,LSM5,57819,LSM2,Phy
387,RHOA,3716,JAK1,Pos
409,ARRB2,6608,SMO,Phy
2691,GHRH,5120,PCOS1,Pos
780,DDR1,80095,ZNF606,Pos
6722,SRF,6927,HNF1A,Phy
1289,COL5A1,3688,ITGB1,Pos
5580,PRKCD,9208,LRRFIP1,Pos
3606,IL18,5657,PRTN3,Pos
10818,FRS2,10818,FRS2,Pos
9913,SUPT7L,3329,HSPD1,Pos
117579,RLN3,339403,RXFP4,Pos
7099,TLR4,4790,NFKB1,Pos
699,BUB1,8048,CSRP3,Pos
675,BRCA2,5888,RAD51,Neg
171568,POLR3H,10621,POLR3F,Phy
55869,HDAC8,9611,NCOR1,Phy
1364,CLDN4,26285,CLDN17,Phy
5564,PRKAB1,1994,ELAVL1,Pos
2205,FCER1A,25759,SHC2,Pos
10207,INADL,1366,CLDN7,Phy
5566,PRKACA,22999,RIMS1,Pos
6957,TRB@,5781,PTPN11,Neg
1286,COL4A4,3679,ITGA7,Pos
60,ACTB,79784,MYH14,Phy
64224,HERPUD2,7412,VCAM1,Pos
808,CALM3,5535,PPP3R2,Pos
5367,PMCH,84539,MCHR2,Pos
23624,CBLC,3568,IL5RA,Neg
5465,PPARA,4023,LPL,Neg
7040,TGFB1,1432,MAPK14,Pos
7048,TGFBR2,6885,MAP3K7,Pos
5568,PRKACG,387,RHOA,Pos
2263,FGFR2,84307,ZNF397,Pos
3689,ITGB2,3732,CD82,Neg
2255,FGF10,3725,JUN,Pos
7040,TGFB1,23118,MAP3K7IP2,Pos
9891,NUAK1,1111,CHEK1,Pos
7791,ZYX,1445,CSK,Phy
8646,CHRD,392255,GDF6,Neg
10810,WASF3,10552,ARPC1A,Pos
7189,TRAF6,868,CBLB,Phy
1196,CLK2,7307,U2AF1,Pos
2966,GTF2H2,6878,TAF6,Phy
6362,CCL18,643,CXCR5,Pos
796,CALCA,3569,IL6,Pos
7532,YWHAG,10382,TUBB4,Phy
1434,CSE1L,50484,RRM2B,Pos
6286,S100P,27101,CACYBP,Neg
23118,MAP3K7IP2,8717,TRADD,Phy
23225,NUP210,29894,CPSF1,Pos
8894,EIF2S2,6203,RPS9,Pos
51081,MRPS7,6141,RPL18,Phy
79902,NUP85,2646,GCKR,Pos
6192,RPS4Y1,6235,RPS29,Phy
1839,HBEGF,3576,IL8,Pos
4916,NTRK3,3265,HRAS,Pos
1050,CEBPA,3725,JUN,Phy
7161,TP73,23327,NEDD4L,Pos
51588,PIAS4,354,KLK3,Neg
10926,DBF4,4172,MCM3,Pos
4690,NCK1,8874,ARHGEF7,Phy
7057,THBS1,3678,ITGA5,Pos
25873,RPL36,6169,RPL38,Phy
2066,ERBB4,6464,SHC1,Pos
7041,TGFB1I1,354,KLK3,Pos
1535,CYBA,1432,MAPK14,Pos
1983,EIF5,6233,RPS27A,Pos
8738,CRADD,7132,TNFRSF1A,Phy
6233,RPS27A,6189,RPS3A,Phy
5691,PSMB3,5707,PSMD1,Phy
6144,RPL21,6159,RPL29,Phy
10193,RNF41,4914,NTRK1,Neg
55681,SCYL2,94104,PAXBP1,Pos
5590,PRKCZ,23294,ANKS1A,Pos
6160,RPL31,6169,RPL38,Phy
116832,RPL39L,6135,RPL11,Phy
5595,MAPK3,2885,GRB2,Pos
5707,PSMD1,7321,UBE2D1,Pos
7132,TNFRSF1A,5468,PPARG,Neg
2207,FCER1G,5921,RASA1,Phy
7124,TNF,9536,PTGES,Pos
3595,IL12RB2,3593,IL12B,Phy
5682,PSMA1,5718,PSMD12,Phy
5692,PSMB4,51035,UBXN1,Phy
10319,LAMC3,3676,ITGA4,Pos
10253,SPRY2,2252,FGF7,Phy
2033,EP300,3276,PRMT1,Phy
8986,RPS6KA4,5463,POU6F1,Pos
6355,CCL8,10803,CCR9,Pos
5564,PRKAB1,51085,MLXIPL,Neg
3588,IL10RB,3717,JAK2,Pos
6142,RPL18A,6222,RPS18,Phy
1020,CDK5,3978,LIG1,Pos
387,RHOA,5337,PLD1,Pos
1235,CCR6,2771,GNAI2,Pos
7341,SUMO1,5241,PGR,Pos
7535,ZAP70,7535,ZAP70,Pos
3718,JAK3,3716,JAK1,Neg
5170,PDPK1,5590,PRKCZ,Pos
5465,PPARA,51129,ANGPTL4,Pos
4325,MMP16,4313,MMP2,Pos
4609,MYC,223,ALDH9A1,Neg
26281,FGF20,3725,JUN,Pos
7422,VEGFA,3984,LIMK1,Pos
2767,GNA11,5335,PLCG1,Pos
5424,POLD1,5982,RFC2,Pos
472,ATM,472,ATM,Neg
23332,CLASP1,1069,CETN2,Phy
3480,IGF1R,5567,PRKACB,Phy
1742,DLG4,22871,NLGN1,Phy
5468,PPARG,6258,RXRG,Phy
8289,ARID1A,3456,IFNB1,Pos
7189,TRAF6,4214,MAP3K1,Pos
5692,PSMB4,64682,ANAPC1,Pos
8718,TNFRSF25,8742,TNFSF12,Phy
7791,ZYX,58,ACTA1,Phy
5985,RFC5,54962,TIPIN,Phy
3383,ICAM1,3930,LBR,Neg
4314,MMP3,5054,SERPINE1,Pos
2968,GTF2H4,2957,GTF2A1,Phy
722,C4BPA,720,C4A,Neg
5566,PRKACA,8208,CHAF1B,Pos
836,CASP3,1977,EIF4E,Pos
5979,RET,220164,DOK6,Phy
79876,UBA5,6613,SUMO2,Pos
6464,SHC1,1796,DOK1,Pos
8202,NCOA3,7494,XBP1,Pos
6125,RPL5,6194,RPS6,Phy
25847,ANAPC13,246184,CDC26,Pos
148738,HFE2,4090,SMAD5,Pos
843,CASP10,8672,EIF4G3,Pos
9712,USP6NL,2668,GDNF,Pos
5683,PSMA2,5694,PSMB6,Phy
6446,SGK1,6513,SLC2A1,Pos
57644,MYH7B,60,ACTB,Phy
5465,PPARA,6256,RXRA,Phy
3110,MNX1,3569,IL6,Pos
2033,EP300,5914,RARA,Phy
3952,LEP,51422,PRKAG2,Pos
2737,GLI3,8643,PTCH2,Pos
983,CDK1,80254,CEP63,Phy
5437,POLR2H,2967,GTF2H3,Phy
1286,COL4A4,3685,ITGAV,Pos
63928,CHP2,4773,NFATC2,Pos
2256,FGF11,23468,CBX5,Phy
9631,NUP155,4927,NUP88,Phy
5970,RELA,332,BIRC5,Pos
9861,PSMD6,51035,UBXN1,Phy
23022,PALLD,5962,RDX,Phy
5829,PXN,5908,RAP1B,Pos
815,CAMK2A,9743,RICS,Neg
5336,PLCG2,5322,PLA2G5,Pos
25873,RPL36,6141,RPL18,Phy
6047,RNF4,7227,TRPS1,Neg
405,ARNT,391104,VHLL,Pos
5704,PSMC4,5710,PSMD4,Phy
6732,SRPK1,6945,MLX,Pos
3725,JUN,983,CDK1,Pos
6189,RPS3A,8894,EIF2S2,Phy
2071,ERCC3,5887,RAD23B,Pos
2908,NR3C1,1843,DUSP1,Pos
2256,FGF11,3725,JUN,Pos
1844,DUSP2,5594,MAPK1,Neg
7040,TGFB1,4089,SMAD4,Pos
91582,RPS19BP1,23411,SIRT1,Pos
5933,RBL1,1719,DHFR,Neg
5694,PSMB6,898,CCNE1,Pos
917,CD3G,567,B2M,Phy
5714,PSMD8,5721,PSME2,Phy
917,CD3G,11184,MAP4K1,Pos
5578,PRKCA,7812,CSDE1,Pos
51765,RP6-213H19.1,4155,MBP,Pos
3416,IDE,5705,PSMC5,Phy
6883,TAF12,6881,TAF10,Phy
7060,THBS4,3676,ITGA4,Pos
1831,TSC22D3,4790,NFKB1,Neg
4621,MYH3,57530,CGN,Phy
444,ASPH,10987,COPS5,Neg
6625,SNRNP70,6628,SNRPB,Phy
4629,MYH11,646048,LOC646048,Phy
3725,JUN,356,FASLG,Pos
2968,GTF2H4,6119,RPA3,Pos
5693,PSMB5,246184,CDC26,Pos
1387,CREBBP,90993,CREB3L1,Phy
1950,EGF,3480,IGF1R,Pos
6795,AURKC,9212,AURKB,Phy
10419,PRMT5,9134,CCNE2,Neg
3710,ITPR3,808,CALM3,Phy
5310,PKD1,7414,VCL,Phy
3039,HBA1,6130,RPL7A,Phy
8205,TAM,1191,CLU,Pos
1052,CEBPD,1991,ELANE,Pos
3569,IL6,10401,PIAS3,Pos
4040,LRP6,8324,FZD7,Phy
1499,CTNNB1,3619,INCENP,Pos
10319,LAMC3,207,AKT1,Pos
4149,MAX,91942,NDUFAF2,Pos
3937,LCP2,8440,NCK2,Phy
1742,DLG4,3356,HTR2A,Pos
4763,NF1,6383,SDC2,Phy
147746,HIPK4,51808,PHAX,Pos
3716,JAK1,5777,PTPN6,Phy
3688,ITGB1,88,ACTN2,Phy
10014,HDAC5,5911,RAP2A,Phy
1437,CSF2,909,CD1A,Pos
10121,ACTR1A,121441,NEDD1,Phy
1454,CSNK1E,2737,GLI3,Neg
3159,HMGA1,28996,HIPK2,Pos
22981,NINL,10142,AKAP9,Phy
1785,DNM2,5747,PTK2,Phy
1639,DCTN1,2255,FGF10,Phy
3554,IL1R1,3654,IRAK1,Phy
7157,TP53,7157,TP53,Neg
8074,FGF23,6777,STAT5B,Pos
5921,RASA1,6654,SOS1,Pos
8743,TNFSF10,5296,PIK3R2,Pos
7764,ZNF217,9734,HDAC9,Phy
5664,PSEN2,4853,NOTCH2,Pos
6654,SOS1,22800,RRAS2,Pos
5705,PSMC5,5694,PSMB6,Phy
5170,PDPK1,1326,MAP3K8,Pos
1746,DLX2,4488,MSX2,Pos
6175,RPLP0,6233,RPS27A,Phy
3447,IFNA13,3454,IFNAR1,Phy
7189,TRAF6,8772,FADD,Phy
10645,CAMKK2,53632,PRKAG3,Pos
6368,CCL23,2833,CXCR3,Pos
2252,FGF7,25759,SHC2,Phy
54861,SNRK,8048,CSRP3,Pos
5698,PSMB9,7337,UBE3A,Phy
4609,MYC,1191,CLU,Neg
51086,TNNI3K,4188,MDFI,Pos
7421,VDR,3725,JUN,Neg
2324,FLT4,25759,SHC2,Pos
6908,TBP,6884,TAF13,Phy
1281,COL3A1,3693,ITGB5,Pos
3643,INSR,6776,STAT5A,Pos
3039,HBA1,6147,RPL23A,Phy
4862,NPAS2,5187,PER1,Pos
6882,TAF11,2958,GTF2A2,Phy
2792,GNGT1,2149,F2R,Phy
1576,CYP3A4,8856,NR1I2,Pos
55662,HIF1AN,9546,APBA3,Neg
9320,TRIP12,51035,UBXN1,Phy
4773,NFATC2,3565,IL4,Neg
942,CD86,5781,PTPN11,Pos
5970,RELA,4583,MUC2,Pos
1277,COL1A1,5295,PIK3R1,Pos
6128,RPL6,6175,RPLP0,Phy
114769,CARD16,3725,JUN,Neg
8893,EIF2B5,1965,EIF2S1,Pos
89780,WNT3A,2535,FZD2,Pos
7128,TNFAIP3,3551,IKBKB,Phy
836,CASP3,3913,LAMB2,Pos
7283,TUBG1,8636,SSNA1,Phy
6157,RPL27A,6192,RPS4Y1,Phy
7295,TXN,4790,NFKB1,Neg
805,CALM2,5533,PPP3CC,Pos
6117,RPA1,5810,RAD1,Phy
3204,HOXA7,2353,FOS,Neg
2242,FES,5879,RAC1,Phy
1947,EFNB1,6464,SHC1,Phy
4752,NEK3,4776,NFATC4,Pos
5693,PSMB5,10393,ANAPC10,Pos
4774,NFIA,11128,POLR3A,Pos
80227,PAAF1,5694,PSMB6,Phy
2773,GNAI3,54331,GNG2,Phy
1027,CDKN1B,7314,UBB,Phy
10006,ABI1,10092,ARPC5,Pos
10319,LAMC3,3690,ITGB3,Pos
51371,POMP,1163,CKS1B,Pos
9846,GAB2,3265,HRAS,Neg
1128,CHRM1,2778,GNAS,Pos
3976,LIF,6347,CCL2,Pos
5683,PSMA2,11065,UBE2C,Pos
646048,LOC646048,9414,TJP2,Phy
5578,PRKCA,1977,EIF4E,Pos
3480,IGF1R,5747,PTK2,Pos
10398,MYL9,646048,LOC646048,Pos
8726,EED,3020,H3F3A,Neg
5894,RAF1,5594,MAPK1,Pos
121441,NEDD1,9793,CKAP5,Phy
7311,UBA52,6229,RPS24,Phy
55755,CDK5RAP2,10733,PLK4,Phy
2205,FCER1A,6654,SOS1,Pos
6234,RPS28,9513,FXR2,Phy
2549,GAB1,2885,GRB2,Pos
207,AKT1,8048,CSRP3,Pos
11183,MAP4K5,847,CAT,Pos
5599,MAPK8,6118,RPA2,Pos
983,CDK1,55755,CDK5RAP2,Phy
5689,PSMB1,5707,PSMD1,Phy
5533,PPP3CC,805,CALM2,Phy
6122,RPL3,6204,RPS10,Phy
2260,FGFR1,3059,HCLS1,Pos
3565,IL4,4982,TNFRSF11B,Pos
840,CASP7,63967,CLSPN,Pos
2113,ETS1,290,ANPEP,Pos
10219,KLRG1,5781,PTPN11,Phy
2963,GTF2F2,2967,GTF2H3,Phy
2068,ERCC2,2067,ERCC1,Pos
3662,IRF4,4094,MAF,Phy
9232,PTTG1,7422,VEGFA,Pos
4233,MET,6198,RPS6KB1,Pos
8312,AXIN1,1499,CTNNB1,Neg
627,BDNF,1103,CHAT,Pos
1454,CSNK1E,55796,MBNL3,Pos
3459,IFNGR1,3308,HSPA4,Pos
6263,RYR3,8912,CACNA1H,Phy
5465,PPARA,3320,HSP90AA1,Pos
10910,SUGT1,3326,HSP90AB1,Phy
3458,IFNG,5993,RFX5,Pos
8021,NUP214,8480,RAE1,Phy
1111,CHEK1,55120,FANCL,Pos
5686,PSMA5,51529,ANAPC11,Pos
1437,CSF2,4318,MMP9,Pos
23476,BRD4,4790,NFKB1,Pos
639,PRDM1,5079,PAX5,Neg
57104,PNPLA2,3952,LEP,Neg
1455,CSNK1G2,7534,YWHAZ,Pos
6997,TDGF1,3055,HCK,Pos
6222,RPS18,8894,EIF2S2,Phy
2584,GALK1,5894,RAF1,Pos
57105,CYSLTR2,2769,GNA15,Pos
7048,TGFBR2,10848,PPP1R13L,Pos
3674,ITGA2B,3716,JAK1,Phy
1781,DYNC1I2,54820,NDE1,Phy
9584,RBM39,3481,IGF2,Pos
6191,RPS4X,6189,RPS3A,Phy
5140,PDE3B,5568,PRKACG,Phy
8911,CACNA1I,8913,CACNA1G,Phy
993,CDC25A,8900,CCNA1,Pos
3002,GZMB,10277,UBE4B,Pos
5501,PPP1CC,29895,MYLPF,Neg
7979,SHFM1,8945,BTRC,Pos
9861,PSMD6,51434,ANAPC7,Pos
51371,POMP,5700,PSMC1,Phy
4609,MYC,7709,ZBTB17,Phy
6456,SH3GL2,162,AP1B1,Pos
5717,PSMD11,7321,UBE2D1,Pos
6234,RPS28,7314,UBB,Phy
4957,ODF2,5518,PPP2R1A,Phy
200576,PIKFYVE,88,ACTN2,Phy
7040,TGFB1,998,CDC42,Pos
3716,JAK1,9846,GAB2,Phy
5694,PSMB6,5710,PSMD4,Phy
3725,JUN,7423,VEGFB,Pos
9815,GIT2,1314,COPA,Pos
10010,TANK,10010,TANK,Phy
9112,MTA1,3963,LGALS7,Neg
836,CASP3,6789,STK4,Pos
8600,TNFSF11,4790,NFKB1,Pos
121441,NEDD1,22919,MAPRE1,Phy
197131,UBR1,991,CDC20,Pos
7124,TNF,3557,IL1RN,Pos
2256,FGF11,2263,FGFR2,Phy
1290,COL5A2,3680,ITGA9,Pos
4067,LYN,5293,PIK3CD,Pos
5576,PRKAR2A,7430,EZR,Phy
9146,HGS,2060,EPS15,Phy
5578,PRKCA,111,ADCY5,Pos
5771,PTPN2,3630,INS,Neg
3169,FOXA1,2641,GCG,Pos
9978,RBX1,1028,CDKN1C,Neg
9861,PSMD6,1163,CKS1B,Pos
3558,IL2,7357,UGCG,Pos
6667,SP1,7078,TIMP3,Pos
3558,IL2,6778,STAT6,Pos
2309,FOXO3,4089,SMAD4,Phy
5116,PCNT,7846,TUBA1A,Phy
2268,FGR,8805,TRIM24,Pos
1948,EFNB2,6714,SRC,Phy
3360,HTR4,2774,GNAL,Pos
329,BIRC2,331,XIAP,Phy
8620,NPFF,551,AVP,Neg
3458,IFNG,5743,PTGS2,Pos
6157,RPL27A,6230,RPS25,Phy
388372,CCL4L2,1237,CCR8,Pos
10235,RASGRP2,786,CACNG1,Phy
4322,MMP13,5595,MAPK3,Pos
3561,IL2RG,6772,STAT1,Pos
1855,DVL1,55361,PI4K2A,Pos
6122,RPL3,6208,RPS14,Phy
207,AKT1,5587,PRKD1,Phy
1263,PLK3,11200,CHEK2,Pos
5590,PRKCZ,10848,PPP1R13L,Pos
8445,DYRK2,2113,ETS1,Pos
1613,DAPK3,126961,HIST2H3C,Pos
7124,TNF,9076,CLDN1,Pos
10121,ACTR1A,55142,HAUS2,Phy
6636,SNRPF,6635,SNRPE,Phy
2056,EPO,5335,PLCG1,Pos
2782,GNB1,9265,CYTH3,Pos
3909,LAMA3,3688,ITGB1,Pos
4772,NFATC1,58,ACTA1,Pos
5468,PPARG,4312,MMP1,Pos
7329,UBE2I,3298,HSF2,Neg
2770,GNAI1,4893,NRAS,Pos
6125,RPL5,6203,RPS9,Phy
143471,PSMA8,5696,PSMB8,Phy
5054,SERPINE1,7124,TNF,Neg
84131,CEP78,22919,MAPRE1,Phy
6135,RPL11,6206,RPS12,Phy
3558,IL2,3553,IL1B,Pos
2066,ERBB4,22905,EPN2,Phy
3574,IL7,93408,MYL10,Pos
4091,SMAD6,2626,GATA4,Pos
5649,RELN,8515,ITGA10,Pos
7014,TERF2,54386,TERF2IP,Neg
8986,RPS6KA4,466,ATF1,Pos
122706,PSMB11,8945,BTRC,Pos
2185,PTK2B,4205,MEF2A,Pos
26285,CLDN17,5010,CLDN11,Phy
79902,NUP85,79833,GEMIN6,Pos
9972,NUP153,6637,SNRPG,Pos
3911,LAMA5,2017,CTTN,Pos
51107,APH1A,5664,PSEN2,Phy
6135,RPL11,6193,RPS5,Phy
3479,IGF1,3091,HIF1A,Pos
4773,NFATC2,7124,TNF,Pos
116832,RPL39L,6217,RPS16,Phy
5728,PTEN,3481,IGF2,Neg
3459,IFNGR1,801,CALM1,Neg
268,AMH,659,BMPR2,Pos
7161,TP73,3297,HSF1,Pos
6654,SOS1,5295,PIK3R1,Pos
6733,SRPK2,55616,ASAP3,Pos
6452,SH3BP2,51744,CD244,Pos
5696,PSMB8,9320,TRIP12,Phy
79959,CEP76,9738,CP110,Phy
5326,PLAGL2,6440,SFTPC,Pos
7189,TRAF6,3663,IRF5,Pos
10379,IRF9,6774,STAT3,Phy
10891,PPARGC1A,6714,SRC,Phy
2322,FLT3,23533,PIK3R5,Pos
3394,IRF8,7709,ZBTB17,Phy
8445,DYRK2,7726,TRIM26,Pos
5430,POLR2A,2071,ERCC3,Phy
1742,DLG4,6714,SRC,Phy
6232,RPS27,6233,RPS27A,Phy
6229,RPS24,7316,UBC,Phy
7161,TP73,2623,GATA1,Pos
23118,MAP3K7IP2,6416,MAP2K4,Pos
23511,NUP188,6634,SNRPD3,Pos
2255,FGF10,4233,MET,Pos
5465,PPARA,1579,CYP4A11,Pos
3725,JUN,4256,MGP,Pos
23198,PSME4,5683,PSMA2,Phy
5594,MAPK1,4286,MITF,Pos
166,AES,6927,HNF1A,Phy
23566,LPAR3,23236,PLCB1,Pos
10193,RNF41,4233,MET,Neg
11184,MAP4K1,1398,CRK,Phy
4485,MST1,2309,FOXO3,Pos
3566,IL4R,5290,PIK3CA,Pos
5903,RANBP2,6636,SNRPF,Pos
103910,MYL12B,646048,LOC646048,Pos
11221,DUSP10,1432,MAPK14,Neg
2475,MTOR,3091,HIF1A,Pos
154,ADRB2,7430,EZR,Phy
5685,PSMA4,10393,ANAPC10,Pos
2968,GTF2H4,6908,TBP,Pos
6124,RPL4,6234,RPS28,Phy
991,CDC20,891,CCNB1,Neg
55845,C3orf10,653888,LOC653888,Pos
7443,VRK1,7515,XRCC1,Pos
2921,CXCL3,2833,CXCR3,Pos
5599,MAPK8,2002,ELK1,Pos
3586,IL10,199,AIF1,Neg
3643,INSR,5608,MAP2K6,Pos
6257,RXRB,948,CD36,Pos
2959,GTF2B,6880,TAF9,Phy
2512,FTL,7311,UBA52,Phy
3329,HSPD1,23643,LY96,Phy
340371,NRBP2,84254,CAMKK1,Pos
1020,CDK5,4137,MAPT,Pos
4233,MET,399694,SHC4,Phy
10750,GRAP,6654,SOS1,Phy
8986,RPS6KA4,9203,ZMYM3,Pos
50807,ASAP1,1313,COP,Pos
22943,DKK1,4041,LRP5,Neg
5710,PSMD4,11047,ADRM1,Phy
3572,IL6ST,9180,OSMR,Phy
11183,MAP4K5,80306,MED28,Pos
80184,CEP290,9793,CKAP5,Phy
2264,FGFR4,6655,SOS2,Pos
9344,TAOK2,2002,ELK1,Pos
3665,IRF7,9641,IKBKE,Phy
3665,IRF7,3444,IFNA7,Pos
6370,CCL25,3577,CXCR1,Pos
1846,DUSP4,5602,MAPK10,Neg
7040,TGFB1,5595,MAPK3,Pos
6804,STX1A,8912,CACNA1H,Neg
51035,UBXN1,5700,PSMC1,Phy
7525,YES1,5155,PDGFB,Pos
1291,COL6A1,3693,ITGB5,Pos
79885,HDAC11,8932,MBD2,Phy
203068,TUBB,22897,CEP164,Phy
60559,SPCS3,6185,RPN2,Pos
4082,MARCKS,5535,PPP3R2,Neg
22981,NINL,7846,TUBA1A,Phy
6093,ROCK1,23396,PIP5K1C,Pos
197131,UBR1,9861,PSMD6,Phy
80227,PAAF1,64682,ANAPC1,Pos
1536,CYBB,6300,MAPK12,Pos
6597,SMARCA4,6872,TAF1,Pos
8660,IRS2,8503,PIK3R3,Pos
8476,CDC42BPA,8735,MYH13,Pos
5685,PSMA4,5699,PSMB10,Phy
1785,DNM2,5216,PFN1,Phy
5727,PTCH1,5744,PTHLH,Pos
5347,PLK1,6945,MLX,Pos
22953,P2RX2,6263,RYR3,Phy
5687,PSMA6,5685,PSMA4,Phy
1500,CTNND1,23396,PIP5K1C,Pos
6776,STAT5A,4843,NOS2,Neg
5441,POLR2L,9150,CTDP1,Pos
4914,NTRK1,8517,IKBKG,Neg
5045,FURIN,4854,NOTCH3,Pos
5627,PROS1,7301,TYRO3,Pos
