Human Signaling Network,16-Jan-14,,,
1975,EIF4B,6198,RPS6KB1,Pos
695,BTK,974,CD79B,Phy
5568,PRKACG,5906,RAP1A,Pos
5714,PSMD8,5693,PSMB5,Phy
3416,IDE,7321,UBE2D1,Pos
51083,GAL,7054,TH,Neg
5599,MAPK8,4671,NAIP,Neg
9560,CCL4L1,1234,CCR5,Pos
4088,SMAD3,5933,RBL1,Pos
1459,CSNK2A2,999,CDH1,Pos
2188,FANCF,2188,FANCF,Pos
919,CD247,5588,PRKCQ,Pos
6626,SNRPA,6637,SNRPG,Phy
2264,FGFR4,11035,RIPK3,Pos
58155,PTBP2,1982,EIF4G2,Phy
3123,HLA-DRB1,3932,LCK,Phy
2324,FLT4,8503,PIK3R3,Pos
23198,PSME4,3416,IDE,Phy
3685,ITGAV,7408,VASP,Phy
5566,PRKACA,22895,RPH3A,Pos
6730,SRP68,6731,SRP72,Phy
25780,RASGRP3,777,CACNA1E,Phy
4855,NOTCH4,11317,RBPJL,Pos
10498,CARM1,2033,EP300,Phy
6193,RPS5,6227,RPS21,Phy
7477,WNT7B,4041,LRP5,Pos
7535,ZAP70,5335,PLCG1,Phy
2774,GNAL,112,ADCY6,Pos
4803,NGF,839,CASP6,Pos
5058,PAK1,56957,OTUD7B,Pos
55120,FANCL,2175,FANCA,Phy
6135,RPL11,6167,RPL37,Phy
2641,GCG,9340,GLP2R,Pos
91442,C19orf40,2188,FANCF,Pos
7070,THY1,394,ARHGAP5,Neg
5602,MAPK10,8660,IRS2,Neg
2773,GNAI3,915,CD3D,Neg
5111,PCNA,27343,POLL,Pos
5175,PECAM1,5829,PXN,Pos
5432,POLR2C,4088,SMAD3,Neg
4026,LPP,7408,VASP,Pos
3692,EIF6,9045,RPL14,Pos
959,CD40LG,920,CD4,Pos
5058,PAK1,2869,GRK5,Pos
87,ACTN1,9564,BCAR1,Phy
1022,CDK7,55596,ZCCHC8,Pos
2775,GNAO1,3123,HLA-DRB1,Neg
6205,RPS11,8661,EIF3A,Phy
6125,RPL5,6230,RPS25,Phy
3717,JAK2,5293,PIK3CD,Pos
207,AKT1,4775,NFATC3,Pos
1387,CREBBP,3066,HDAC2,Phy
2064,ERBB2,5291,PIK3CB,Pos
22994,AZI1,1778,DYNC1H1,Phy
5566,PRKACA,1397,CRIP2,Pos
55755,CDK5RAP2,54820,NDE1,Phy
6714,SRC,2185,PTK2B,Pos
3326,HSP90AB1,9641,IKBKE,Phy
4023,LPL,2,A2M,Neg
3040,HBA2,6202,RPS8,Phy
2241,FER,5781,PTPN11,Pos
2147,F2,1232,CCR3,Phy
156,ADRBK1,1128,CHRM1,Pos
4914,NTRK1,116986,AGAP2,Pos
4090,SMAD5,4090,SMAD5,Phy
3593,IL12B,6348,CCL3,Pos
27040,LAT,920,CD4,Phy
5660,PSAP,367,AR,Pos
5573,PRKAR1A,6387,CXCL12,Phy
405,ARNT,5211,PFKL,Pos
9350,CER1,7484,WNT9B,Neg
5609,MAP2K7,355,FAS,Neg
2737,GLI3,353500,BMP8A,Pos
348,APOE,7436,VLDLR,Pos
867,CBL,3815,KIT,Neg
3440,IFNA2,10197,PSME3,Pos
3565,IL4,8600,TNFSF11,Neg
7132,TNFRSF1A,6609,SMPD1,Pos
5586,PKN2,8440,NCK2,Phy
7531,YWHAE,10806,SDCCAG8,Phy
50649,ARHGEF4,5879,RAC1,Pos
1311,COMP,3673,ITGA2,Pos
3685,ITGAV,3696,ITGB8,Phy
5576,PRKAR2A,5577,PRKAR2B,Phy
6356,CCL11,5573,PRKAR1A,Phy
867,CBL,3679,ITGA7,Neg
2268,FGR,6850,SYK,Phy
983,CDK1,54821,ERCC6L,Pos
7186,TRAF2,8737,RIPK1,Phy
1901,S1PR1,5595,MAPK3,Pos
7448,VTN,2324,FLT4,Pos
175,AGA,2782,GNB1,Phy
405,ARNT,4089,SMAD4,Phy
51692,CPSF3,10914,PAPOLA,Phy
3560,IL2RB,7297,TYK2,Pos
3659,IRF1,3320,HSP90AA1,Neg
8125,ANP32A,836,CASP3,Pos
24146,CLDN15,7122,CLDN5,Phy
3561,IL2RG,22806,IKZF3,Neg
9842,PLEKHM1,23405,DICER1,Neg
3831,KLC1,9043,SPAG9,Phy
4609,MYC,1052,CEBPD,Neg
1387,CREBBP,3091,HIF1A,Phy
4082,MARCKS,5585,PKN1,Pos
53944,CSNK1G1,490,ATP2B1,Pos
8555,CDC14B,51434,ANAPC7,Neg
3611,ILK,5566,PRKACA,Pos
3725,JUN,1019,CDK4,Pos
3075,CFH,6402,SELL,Pos
4852,NPY,3565,IL4,Pos
1399,CRKL,7535,ZAP70,Phy
6364,CCL20,2829,XCR1,Pos
9064,MAP3K6,5608,MAP2K6,Pos
9972,NUP153,2646,GCKR,Pos
5595,MAPK3,7249,TSC2,Neg
3659,IRF1,1906,EDN1,Pos
917,CD3G,919,CD247,Phy
930,CD19,5290,PIK3CA,Pos
9709,HERPUD1,80142,PTGES2,Pos
7311,UBA52,6201,RPS7,Phy
2335,FN1,8515,ITGA10,Pos
51081,MRPS7,6202,RPS8,Phy
8986,RPS6KA4,5567,PRKACB,Pos
5717,PSMD11,8945,BTRC,Pos
7046,TGFBR1,7049,TGFBR3,Neg
10987,COPS5,3939,LDHA,Pos
6128,RPL6,6147,RPL23A,Phy
6189,RPS3A,6218,RPS17,Phy
9700,ESPL1,27127,SMC1B,Neg
1027,CDKN1B,10728,PTGES3,Neg
5687,PSMA6,5690,PSMB2,Phy
22981,NINL,7532,YWHAG,Phy
5347,PLK1,1781,DYNC1I2,Phy
2064,ERBB2,3084,NRG1,Phy
10603,SH2B2,3815,KIT,Phy
3371,TNC,3688,ITGB1,Pos
10750,GRAP,3636,INPPL1,Phy
54509,RHOF,6480,ST6GAL1,Pos
3977,LIFR,7297,TYK2,Pos
7432,VIP,2152,F3,Pos
6846,XCL2,3579,CXCR2,Pos
5534,PPP3R1,8881,CDC16,Pos
4609,MYC,10664,CTCF,Pos
150094,SIK1,2810,SFN,Phy
1909,EDNRA,5879,RAC1,Pos
2887,GRB10,6714,SRC,Phy
4803,NGF,1398,CRK,Pos
5684,PSMA3,8881,CDC16,Pos
157,ADRBK2,3579,CXCR2,Pos
6209,RPS15,6203,RPS9,Phy
6164,RPL34,6235,RPS29,Phy
4088,SMAD3,5080,PAX6,Neg
6198,RPS6KB1,6605,SMARCE1,Pos
8655,DYNLL1,22919,MAPRE1,Phy
26230,TIAM2,5295,PIK3R1,Phy
8395,PIP5K1B,2934,GSN,Pos
4283,CXCL9,10803,CCR9,Pos
1964,EIF1AX,6202,RPS8,Pos
22995,CEP152,80184,CEP290,Phy
3122,HLA-DRA,3932,LCK,Phy
25805,BAMBI,7048,TGFBR2,Neg
5594,MAPK1,2255,FGF10,Neg
1436,CSF1R,6457,SH3GL3,Phy
4927,NUP88,6628,SNRPB,Pos
7479,WNT8B,2535,FZD2,Pos
6147,RPL23A,6227,RPS21,Phy
85407,NKD1,3725,JUN,Pos
3682,ITGAE,1445,CSK,Pos
147746,HIPK4,116985,ARAP1,Pos
100290337,LOC100290337,2073,ERCC5,Phy
64682,ANAPC1,29945,ANAPC4,Pos
627,BDNF,1399,CRKL,Pos
10369,CACNG2,5923,RASGRF1,Phy
5683,PSMA2,80227,PAAF1,Phy
