4803,NGF,839,CASP6,Pos
5058,PAK1,56957,OTUD7B,Pos
55120,FANCL,2175,FANCA,Phy
91442,C19orf40,2188,FANCF,Pos
7070,THY1,394,ARHGAP5,Neg
5602,MAPK10,8660,IRS2,Neg
2773,GNAI3,915,CD3D,Neg
5175,PECAM1,5829,PXN,Pos
959,CD40LG,920,CD4,Pos
5058,PAK1,2869,GRK5,Pos
87,ACTN1,9564,BCAR1,Phy
1022,CDK7,55596,ZCCHC8,Pos
2775,GNAO1,3123,HLA-DRB1,Neg
3717,JAK2,5293,PIK3CD,Pos
207,AKT1,4775,NFATC3,Pos
1387,CREBBP,3066,HDAC2,Phy
2064,ERBB2,5291,PIK3CB,Pos
22994,AZI1,1778,DYNC1H1,Phy
55755,CDK5RAP2,54820,NDE1,Phy
6714,SRC,2185,PTK2B,Pos
4023,LPL,2,A2M,Neg
2241,FER,5781,PTPN11,Pos
156,ADRBK1,1128,CHRM1,Pos
4914,NTRK1,116986,AGAP2,Pos
4090,SMAD5,4090,SMAD5,Phy
3593,IL12B,6348,CCL3,Pos
27040,LAT,920,CD4,Phy
5573,PRKAR1A,6387,CXCL12,Phy
405,ARNT,5211,PFKL,Pos
5609,MAP2K7,355,FAS,Neg
2737,GLI3,353500,BMP8A,Pos
867,CBL,3815,KIT,Neg
3565,IL4,8600,TNFSF11,Neg
7132,TNFRSF1A,6609,SMPD1,Pos
5586,PKN2,8440,NCK2,Phy
7531,YWHAE,10806,SDCCAG8,Phy
50649,ARHGEF4,5879,RAC1,Pos
3685,ITGAV,3696,ITGB8,Phy
5576,PRKAR2A,5577,PRKAR2B,Phy
6356,CCL11,5573,PRKAR1A,Phy
867,CBL,3679,ITGA7,Neg
2268,FGR,6850,SYK,Phy
7186,TRAF2,8737,RIPK1,Phy
1901,S1PR1,5595,MAPK3,Pos
7448,VTN,2324,FLT4,Pos
175,AGA,2782,GNB1,Phy
405,ARNT,4089,SMAD4,Phy
3560,IL2RB,7297,TYK2,Pos
3659,IRF1,3320,HSP90AA1,Neg
3561,IL2RG,22806,IKZF3,Neg
4609,MYC,1052,CEBPD,Neg
1387,CREBBP,3091,HIF1A,Phy
4082,MARCKS,5585,PKN1,Pos
53944,CSNK1G1,490,ATP2B1,Pos
3611,ILK,5566,PRKACA,Pos
3725,JUN,1019,CDK4,Pos
3075,CFH,6402,SELL,Pos
4852,NPY,3565,IL4,Pos
1399,CRKL,7535,ZAP70,Phy
6364,CCL20,2829,XCR1,Pos
9972,NUP153,2646,GCKR,Pos
5595,MAPK3,7249,TSC2,Neg
3659,IRF1,1906,EDN1,Pos
917,CD3G,919,CD247,Phy
