Time	glucose	fructose-6-phosphate	fructose-1,6-bisphosphate	glyceraldehyde 3-phosphate	1,2-bisphospho-D-glycerate	phosphoenolpyruvate	pyruvate	adenine monophosphate	lactate	glycerol-3-phosphate	dihydrohxyacetone-phosphate	oxaloacetate	aspartate	glutamate	oxoglutarate	malate	acetyl CoA	coenzyme A	isocitrate	citrate	adenine triphosphate	adenine diphosphate	NAD	NADH	NADP	NADPH	ubiquinone	ubiquinol	ferrocytochrome c	ferricytochrome c	pyruvate (mito)	carbon dioxide	coenzyme A (mito)	acetyl CoA (mito)	phosphate	fumarate	succinyl-CoA	succinate	guanosine triphosphate	guanosine diphosphate	slanine	aspartate (mito)	glutamate (mito)	water	electron transfer flavoprotein (reduced form)	electron transfer flavoprotein (oxidised form)	FADH2	FAD	oxoglutarate (mto)	malate (mito)	oxaloacetate (mito)	citrate (mito)	isocitrate (mito)	adenine triphosphate (mito)	adenine diphosphate (mito)	NADP+	NADPH (mito)	NAD+	NADH (mito)
5	0.00145357	0.000924667	0.000118715	4.07E-05	0.00175284	1.55E-05	0.000137138	5.70E-06	0.0020589	0.00769251	0.00769249	6.07E-07	0.00132076	0.00284924	5.93E-06	0.000348639	3.00E-05	0.000272	0.00046008	0.000549623	0.00525122	0.000172737	0.00206404	0.00217265	0.00360692	0.000629764	0.0258605	0.0281395	0.00296341	0.000146594	0.000654739	0.00200527	2.03E-05	0.000408135	0.00377395	0.000122421	0.000167658	0.00312206	0.00462664	0.000323357	0.00344002	0.000921562	0.00324841	0.00110247	0.000365722	0.000264278	7.20E-05	0.00100998	1.40E-05	0.000580159	5.41E-06	0.000357456	0.000297069	0.00376165	0.000360317	0.010089	8.30E-05	0.00998069	0.000839312
5.5	0.0015707	0.00112487	9.72E-05	3.13E-05	0.00173766	1.54E-05	0.000126766	5.70E-06	0.00218824	0.00769251	0.00769249	5.80E-07	0.00132846	0.00284154	5.66E-06	0.000348222	3.00E-05	0.000272	0.000456018	0.000554388	0.00532831	0.000174433	0.00209256	0.00214413	0.00360558	0.000631107	0.0258456	0.0281544	0.00295979	0.000150213	0.000642381	0.0020181	2.01E-05	0.000421262	0.00375221	0.000122169	0.000154743	0.00314026	0.00463956	0.000310435	0.00344003	0.000911348	0.00325863	0.0011116	0.000368604	0.000261396	7.20E-05	0.00100998	1.33E-05	0.000577227	5.49E-06	0.000359087	0.000293225	0.00369129	0.000351887	0.010088	8.40E-05	0.0099925	0.000827497
6	0.00168612	0.00130976	9.74E-05	2.90E-05	0.00170148	1.54E-05	0.000126788	6.38E-06	0.00230948	0.00769251	0.00769249	5.56E-07	0.00133503	0.00283497	5.42E-06	0.000347823	3.00E-05	0.000272	0.000451957	0.000559102	0.00539396	0.000186024	0.00213136	0.00210533	0.00360424	0.000632444	0.0258305	0.0281695	0.00295617	0.000153826	0.000630476	0.00203048	1.98E-05	0.000433932	0.00373118	0.000121921	0.000142345	0.00315771	0.00465197	0.000298029	0.00344003	0.000902386	0.00326758	0.00112053	0.000371191	0.000258809	7.20E-05	0.00100998	1.26E-05	0.000574407	5.56E-06	0.000360712	0.000289448	0.00362159	0.00034367	0.0100869	8.51E-05	0.0100044	0.000815604
6.5	0.00179999	0.00146196	0.000124777	3.45E-05	0.00166007	1.59E-05	0.000134922	8.01E-06	0.00243187	0.00769251	0.00769249	5.34E-07	0.0013406	0.0028294	5.20E-06	0.000347442	3.00E-05	0.000272	0.0004479	0.000563768	0.00544537	0.000209993	0.00216679	0.0020699	0.00360291	0.000633775	0.0258153	0.0281847	0.00295257	0.000157433	0.000619028	0.00204239	1.95E-05	0.000446142	0.00371087	0.000121676	0.000130479	0.00317439	0.00466385	0.000286155	0.00344003	0.000894523	0.00327545	0.00112927	0.000373514	0.000256486	7.20E-05	0.00100997	1.20E-05	0.000571695	5.62E-06	0.00036233	0.000285736	0.00355256	0.000335683	0.0100858	8.62E-05	0.0100164	0.00080363
7	0.00191244	0.001539	0.000203314	5.32E-05	0.00163127	1.74E-05	0.000153957	1.21E-05	0.00256534	0.00769251	0.00769249	5.15E-07	0.00134531	0.00282469	5.01E-06	0.00034708	3.00E-05	0.000272	0.000443849	0.000568384	0.00546796	0.000259409	0.00217763	0.00205906	0.00360159	0.0006351	0.0258001	0.0281999	0.00294897	0.000161034	0.000608046	0.00205384	1.91E-05	0.000457882	0.00369129	0.000121437	0.000119157	0.00319031	0.00467517	0.000274825	0.00344003	0.000887619	0.00328235	0.00113781	0.000375604	0.000254396	7.20E-05	0.00100997	1.15E-05	0.00056909	5.67E-06	0.00036394	0.000282087	0.00348422	0.000327961	0.0100847	8.73E-05	0.0100284	0.000791571
7.5	0.0020236	0.0014495	0.000385824	0.000101984	0.00164421	2.11E-05	0.000194282	2.28E-05	0.00272904	0.00769251	0.00769249	4.97E-07	0.00134927	0.00282073	4.83E-06	0.000346738	3.00E-05	0.000272	0.000439805	0.000572951	0.00543535	0.000356304	0.00212309	0.0021136	0.00360027	0.000636418	0.0257849	0.0282151	0.00294537	0.000164629	0.000597542	0.00206481	1.86E-05	0.000469142	0.00367245	0.000121203	0.000108388	0.00320547	0.00468595	0.000264047	0.00344004	0.000881555	0.00328841	0.00114618	0.000377484	0.000252516	7.20E-05	0.00100997	1.10E-05	0.00056659	5.72E-06	0.000365542	0.000278499	0.00341658	0.000320579	0.0100837	8.83E-05	0.0100406	0.000779417
8	0.00213356	0.00119129	0.00062565	0.000189742	0.00175333	2.64E-05	0.000254407	3.60E-05	0.00295868	0.00769252	0.00769248	4.81E-07	0.00135257	0.00281743	4.67E-06	0.000346417	3.00E-05	0.000272	0.000435771	0.000577469	0.00540958	0.000442827	0.00195093	0.00228575	0.00359896	0.00063773	0.0257696	0.0282304	0.00294178	0.000168218	0.000587523	0.00207529	1.80E-05	0.000479912	0.00365433	0.000120974	9.82E-05	0.00321988	0.00469618	0.000253825	0.00344004	0.000876222	0.00329374	0.00115437	0.000379178	0.000250822	7.20E-05	0.00100996	1.06E-05	0.000564192	5.76E-06	0.000367137	0.000274971	0.00334964	0.00031359	0.0100826	8.94E-05	0.0100528	0.000767164
8.5	0.00224237	0.000946724	0.000753995	0.000278839	0.00199419	2.97E-05	0.000290375	3.27E-05	0.00327614	0.00769252	0.00769248	4.66E-07	0.00135531	0.00281469	4.53E-06	0.000346116	3.00E-05	0.000272	0.000431746	0.000581939	0.00550743	0.000421186	0.00167308	0.00256361	0.00359765	0.000639035	0.0257544	0.0282456	0.0029382	0.000171802	0.000577999	0.00208528	1.74E-05	0.000490186	0.00363694	0.000120749	8.85E-05	0.00323354	0.00470584	0.00024416	0.00344004	0.000871526	0.00329843	0.0011624	0.000380706	0.000249294	7.20E-05	0.00100996	1.02E-05	0.000561892	5.80E-06	0.000368723	0.000271501	0.00328343	0.000306845	0.0100816	9.04E-05	0.0100652	0.000754806
9	0.00235	0.00092725	0.000649113	0.000305111	0.00234902	2.72E-05	0.000253538	1.33E-05	0.00363628	0.00769252	0.00769248	4.52E-07	0.00135756	0.00281244	4.41E-06	0.000345836	3.00E-05	0.000272	0.000427734	0.000586362	0.0057499	0.000270369	0.00135985	0.00287683	0.00359636	0.000640333	0.0257393	0.0282607	0.00293462	0.00017538	0.000568975	0.00209476	1.67E-05	0.000499957	0.00362026	0.00012053	7.94E-05	0.00324646	0.00471495	0.000235052	0.00344004	0.000867383	0.00330257	0.00117027	0.000382086	0.000247914	7.20E-05	0.00100996	9.84E-06	0.000559688	5.83E-06	0.0003703	0.000268087	0.00321794	0.000300068	0.0100805	9.15E-05	0.0100777	0.00074234
9.5	0.0024565	0.00112254	0.000423999	0.000241825	0.00273405	2.26E-05	0.000158678	3.50E-06	0.00392621	0.00769252	0.00769248	4.40E-07	0.00135939	0.00281061	4.29E-06	0.000345576	3.00E-05	0.000272	0.000423736	0.000590736	0.00595978	0.00014204	0.00107649	0.0031602	0.00359506	0.000641624	0.0257242	0.0282758	0.00293105	0.000178953	0.000560455	0.00210374	1.60E-05	0.000509222	0.0036043	0.000120315	7.09E-05	0.00325867	0.0047235	0.000226495	0.00344005	0.000863721	0.00330623	0.00117796	0.000383334	0.000246666	7.20E-05	0.00100996	9.52E-06	0.000557575	5.86E-06	0.000371868	0.000264728	0.00315318	0.000293108	0.0100795	9.25E-05	0.0100902	0.000729768
10	0.00256195	0.00135334	0.000262588	0.000164997	0.00300627	2.17E-05	9.81E-05	1.94E-06	0.00410615	0.00769252	0.00769248	4.29E-07	0.00136085	0.00280915	4.18E-06	0.000345336	3.00E-05	0.000272	0.000419752	0.000595063	0.00606652	0.000107862	0.000867882	0.00336881	0.00359378	0.000642907	0.0257093	0.0282907	0.00292748	0.000182521	0.00055244	0.00211222	1.52E-05	0.00051798	0.00358905	0.000120104	6.29E-05	0.00327016	0.00473152	0.000218485	0.00344005	0.000860475	0.00330948	0.00118549	0.000384463	0.000245537	7.20E-05	0.00100995	9.24E-06	0.000555551	5.89E-06	0.000373427	0.000261424	0.00308916	0.000286148	0.0100785	9.35E-05	0.0101029	0.000717089
