Time	BM	ACT	GLC	ACoA	AKG	cAMP	FBP	G6P	GLX	ICT	MAL	OAA	PEP	PG3	PYR	AceA	AceB	AceK	Acoa2act	Acs	Akg2mal	CAMPdegr	Cya	Emp	Eno	Fdp	GltA	Icd	Icd_P	Mdh	Me	PckA	Pdh	PfkA	Ppc	PpsA	PykF	Cra	CraFBP	Crp	CrpcAMP	IclR	PdhR	PdhRPYR	EIIA	EIIA_P	EIICB
7950	0.125453	0.0332614	4.59899	0.411955	0.200293	0.202768	6.57367	1.90801	5.34E-09	0.0014444	3.36374	0.0490068	0.210435	5.71978	0.862826	0.00472434	0.0014173	0.00014173	0.001	0.00109603	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157531	0.00102953	0.00429112	0.000220816	0.00345702	0.00100014	0.00229156	0.00464706	0.000143808	0.00099956	0.000987792	0.00597703	0.000299218	0.00699078	0.00594347	0.00134653	0.00729	0.00116433	0.00612567	0.0964777	0.00352229	0.003
8745	0.14475	0.0399179	4.55836	0.412261	0.200334	0.202769	6.57367	1.90801	5.34E-09	0.00144456	3.36411	0.0489999	0.210435	5.71978	0.862824	0.00472439	0.00141732	0.000141732	0.001	0.00109603	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157533	0.00102953	0.00429114	0.000220819	0.00345702	0.00100017	0.00229159	0.00464705	0.000143808	0.000999554	0.000987806	0.00597702	0.000299218	0.00699078	0.00594346	0.00134654	0.00729	0.00116433	0.00612567	0.0964777	0.0035223	0.003
9540	0.167014	0.0475939	4.51147	0.412511	0.200368	0.20277	6.57367	1.90801	5.34E-09	0.00144469	3.36442	0.0489943	0.210435	5.71978	0.862821	0.00472443	0.00141733	0.000141733	0.001	0.00109602	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157534	0.00102953	0.00429116	0.000220823	0.00345701	0.00100019	0.00229161	0.00464703	0.000143808	0.000999549	0.000987817	0.00597702	0.000299218	0.00699078	0.00594346	0.00134654	0.00729	0.00116433	0.00612567	0.0964777	0.00352232	0.003
10335	0.192703	0.0564464	4.45737	0.412716	0.200396	0.202771	6.57367	1.90802	5.33E-09	0.00144479	3.36467	0.0489897	0.210435	5.71978	0.862816	0.00472446	0.00141734	0.000141734	0.001	0.00109602	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157535	0.00102953	0.00429118	0.000220827	0.00345701	0.00100022	0.00229164	0.00464702	0.000143808	0.000999545	0.000987826	0.00597701	0.000299218	0.00699078	0.00594345	0.00134655	0.00729	0.00116434	0.00612566	0.0964777	0.00352234	0.003
11130	0.222344	0.0666567	4.39495	0.412887	0.200419	0.202772	6.57368	1.90802	5.33E-09	0.00144488	3.36488	0.048986	0.210435	5.71978	0.862809	0.00472449	0.00141735	0.000141735	0.001	0.00109602	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157536	0.00102953	0.00429119	0.000220833	0.00345701	0.00100024	0.00229165	0.00464701	0.000143807	0.000999541	0.000987834	0.00597701	0.000299218	0.00699078	0.00594345	0.00134655	0.00729	0.00116435	0.00612565	0.0964776	0.00352236	0.003
11925	0.256544	0.0784336	4.32293	0.41303	0.200439	0.202774	6.57368	1.90802	5.33E-09	0.00144496	3.36506	0.0489828	0.210435	5.71979	0.8628	0.00472452	0.00141736	0.000141736	0.001	0.00109603	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157537	0.00102953	0.0042912	0.000220841	0.00345702	0.00100025	0.00229167	0.004647	0.000143807	0.000999537	0.00098784	0.005977	0.000299217	0.00699078	0.00594344	0.00134656	0.00729	0.00116436	0.00612564	0.0964776	0.00352238	0.003
12720	0.296004	0.0920183	4.23983	0.41315	0.200456	0.202775	6.57369	1.90802	5.33E-09	0.00144503	3.36521	0.0489802	0.210435	5.71979	0.862788	0.00472454	0.00141736	0.000141736	0.001	0.00109603	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157538	0.00102953	0.0042912	0.00022085	0.00345702	0.00100027	0.00229168	0.00464699	0.000143807	0.000999533	0.000987845	0.005977	0.000299217	0.00699078	0.00594343	0.00134657	0.00729	0.00116437	0.00612563	0.0964776	0.00352241	0.003
13515	0.341533	0.107689	4.14396	0.413253	0.200471	0.202777	6.57369	1.90802	5.33E-09	0.00144509	3.36534	0.0489781	0.210435	5.7198	0.862774	0.00472456	0.00141737	0.000141737	0.001	0.00109604	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157538	0.00102954	0.0042912	0.000220862	0.00345703	0.00100029	0.00229169	0.00464698	0.000143807	0.000999529	0.000987849	0.005977	0.000299216	0.00699078	0.00594342	0.00134658	0.00729	0.00116439	0.00612561	0.0964775	0.00352244	0.003
14310	0.394066	0.125766	4.03333	0.413341	0.200484	0.202779	6.5737	1.90802	5.33E-09	0.00144514	3.36546	0.0489763	0.210435	5.7198	0.862756	0.00472458	0.00141737	0.000141737	0.001	0.00109604	0.0010268	0.001	0.001	0.0115156	0.0115529	0.000157539	0.00102954	0.00429119	0.000220875	0.00345704	0.00100031	0.00229169	0.00464696	0.000143807	0.000999525	0.000987852	0.00597699	0.000299215	0.00699078	0.00594341	0.00134659	0.00729	0.00116441	0.00612559	0.0964775	0.00352248	0.003
15105	0.454677	0.146619	3.90569	0.413416	0.200496	0.202782	6.57371	1.90802	5.33E-09	0.00144519	3.36556	0.0489749	0.210435	5.71981	0.862734	0.0047246	0.00141738	0.000141738	0.001	0.00109606	0.00102681	0.001	0.001	0.0115156	0.0115529	0.000157539	0.00102954	0.00429117	0.000220893	0.00345706	0.00100033	0.0022917	0.00464695	0.000143807	0.00099952	0.000987854	0.00597699	0.000299214	0.00699079	0.00594339	0.00134661	0.00729	0.00116443	0.00612557	0.0964775	0.00352253	0.003
