Time	ERKPP	AktPIPP	Akt	AktPIP3	AktPIP	ERK	ERKP	GS	HRG	MEK	MEKP	MEKPP	PI3K	PI3Kstar	PIP3	R	RP	RHRG	RHRG2	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	P_I	internalization	E	MKP3	PP2A
45	107.372	4.32154	4.06401	0.461468	1.15297	645.366	247.262	9.96497	250.031	3.26366	27.212	89.5243	3.26533	6.09818	0.0524128	0.0313675	15.9771	12.3752	15.3022	0.441881	0.194601	0.0347499	0.0317528	0.00851284	98.128	1.872	120	1.24E-05	0.000282564	999.912	0.0125187	794.012	1.80596	7	2.4	11.4
48	129.505	4.42472	3.96709	0.449721	1.15847	611.188	259.307	9.96515	250.031	2.74428	26.2648	90.9909	3.27709	6.08802	0.0523257	0.0313048	15.8932	12.3505	15.2411	0.44114	0.193753	0.0345648	0.0315832	0.00847043	98.2675	1.73247	120	1.24E-05	0.000282541	999.913	0.012558	793.915	1.96531	7	2.4	11.4
51	152.822	4.50759	3.88931	0.440176	1.16292	578.35	268.827	9.96534	250.031	2.34064	25.6066	92.0528	3.28885	6.07784	0.0522385	0.0312423	15.8099	12.3258	15.1802	0.440399	0.192909	0.0343824	0.0314161	0.00842864	98.3994	1.6006	120	1.24E-05	0.000282531	999.913	0.0125977	793.837	2.12382	7	2.4	11.4
54	177.017	4.57321	3.82775	0.432489	1.16656	546.959	276.023	9.96552	250.031	2.02423	25.2	92.7757	3.30061	6.06766	0.052151	0.0311799	15.7272	12.3012	15.1196	0.439657	0.192071	0.0342016	0.0312504	0.00838722	98.5235	1.47645	120	1.24E-05	0.000282523	999.913	0.0126377	793.776	2.28151	7	2.4	11.4
57	201.808	4.62418	3.7799	0.426371	1.16955	517.073	281.119	9.9657	250.031	1.77421	25.0125	93.2133	3.31238	6.05747	0.0520634	0.0311176	15.645	12.2766	15.0592	0.438914	0.191238	0.034022	0.0310859	0.00834609	98.64	1.35999	120	1.24E-05	0.000282516	999.914	0.0126778	793.728	2.43837	7	2.4	11.4
60	226.936	4.66271	3.74369	0.421578	1.17203	488.713	284.351	9.96587	250.031	1.57527	25.0162	93.4086	3.32415	6.04727	0.0519757	0.0310554	15.5633	12.2521	14.999	0.438171	0.190409	0.0338437	0.0309225	0.00830524	98.7489	1.25109	120	1.24E-05	0.000282509	999.914	0.012718	793.692	2.59441	7	2.4	11.4
63	252.172	4.69065	3.71734	0.417908	1.1741	461.874	285.953	9.96605	250.031	1.41606	25.1873	93.3966	3.33593	6.03706	0.0518879	0.0309934	15.4822	12.2276	14.9391	0.437427	0.189585	0.0336665	0.0307602	0.00826465	98.8504	1.14955	120	1.24E-05	0.000282503	999.914	0.0127584	793.665	2.74964	7	2.4	11.4
66	277.319	4.70957	3.6994	0.41519	1.17584	436.532	286.149	9.96623	250.031	1.2881	25.5061	93.2058	3.34771	6.02684	0.0517999	0.0309315	15.4016	12.2032	14.8795	0.436682	0.188766	0.0334905	0.0305989	0.00822434	98.9449	1.05513	120	1.24E-05	0.000282496	999.915	0.012799	793.648	2.90406	7	2.4	11.4
69	302.205	4.72074	3.68866	0.413283	1.17731	412.646	285.149	9.9664	250.031	1.18499	25.9558	92.8592	3.3595	6.01661	0.0517118	0.0308697	15.3216	12.1788	14.8201	0.435938	0.187952	0.0333157	0.0304387	0.0081843	99.0325	0.967545	120	1.24E-05	0.00028249	999.915	0.0128398	793.637	3.05767	7	2.4	11.4
72	326.687	4.72525	3.68411	0.412072	1.17857	390.168	283.146	9.96658	250.031	1.10188	26.5224	92.3757	3.37129	6.00638	0.0516237	0.0308081	15.242	12.1545	14.761	0.435192	0.187142	0.033142	0.0302796	0.00814451	99.1135	0.886467	120	1.24E-05	0.000282484	999.915	0.0128807	793.632	3.21049	7	2.4	11.4
75	350.644	4.72398	3.68492	0.41146	1.17964	369.04	280.316	9.96675	250.031	1.03507	27.1939	91.771	3.38308	5.99614	0.0515354	0.0307466	15.163	12.1302	14.702	0.434446	0.186337	0.0329695	0.0301216	0.00810499	99.1884	0.811565	120	1.24E-05	0.000282477	999.916	0.0129217	793.633	3.36251	7	2.4	11.4
78	373.98	4.71768	3.69041	0.411368	1.18055	349.203	276.816	9.96692	250.031	0.981694	27.9603	91.058	3.39488	5.98589	0.051447	0.0306852	15.0845	12.106	14.6434	0.4337	0.185536	0.032798	0.0299645	0.00806573	99.2575	0.742493	120	1.24E-05	0.000282471	999.916	0.0129629	793.639	3.51375	7	2.4	11.4
81	396.62	4.70694	3.7	0.41173	1.18133	330.595	272.786	9.96709	250.031	0.939536	28.8127	90.2477	3.40668	5.97563	0.0513586	0.0306239	15.0065	12.0818	14.585	0.432953	0.18474	0.0326277	0.0298085	0.00802673	99.3211	0.678901	120	1.24E-05	0.000282465	999.916	0.0130043	793.649	3.6642	7	2.4	11.4
84	418.503	4.69229	3.71324	0.412492	1.18199	313.151	268.347	9.96726	250.031	0.906866	29.7436	89.3496	3.41848	5.96536	0.0512701	0.0305628	14.929	12.0577	14.5268	0.432205	0.183949	0.0324585	0.0296535	0.00798799	99.3796	0.62044	120	1.24E-05	0.000282458	999.917	0.0130459	793.662	3.81388	7	2.4	11.4
87	439.585	4.67412	3.72973	0.41361	1.18254	296.808	263.607	9.96743	250.031	0.882326	30.746	88.3716	3.43029	5.95509	0.0511815	0.0305018	14.852	12.0337	14.4688	0.431457	0.183161	0.0322904	0.0294996	0.00794949	99.4332	0.566769	120	1.24E-05	0.000282452	999.917	0.0130876	793.679	3.96278	7	2.4	11.4
90	459.838	4.6528	3.74917	0.415047	1.18299	281.505	258.657	9.96759	250.03	0.864846	31.8141	87.321	3.4421	5.94481	0.0510929	0.030441	14.7754	12.0096	14.4111	0.430709	0.182379	0.0321234	0.0293466	0.00791125	99.4824	0.517554	120	1.24E-05	0.000282446	999.917	0.0131295	793.698	4.11092	7	2.4	11.4
93	479.241	4.62861	3.77128	0.416771	1.18334	267.181	253.578	9.96776	250.03	0.85358	32.9424	86.2041	3.45392	5.93452	0.0510042	0.0303803	14.6994	11.9857	14.3537	0.42996	0.1816	0.0319575	0.0291947	0.00787326	99.5275	0.472475	120	1.24E-05	0.00028244	999.918	0.0131715	793.72	4.25829	7	2.4	11.4
96	497.786	4.6018	3.79586	0.418758	1.18359	253.778	248.436	9.96792	250.03	0.847853	34.1257	85.0264	3.46573	5.92423	0.0509154	0.0303197	14.6239	11.9618	14.2964	0.42921	0.180826	0.0317927	0.0290437	0.00783551	99.5688	0.431223	120	1.24E-05	0.000282434	999.918	0.0132137	793.745	4.40491	7	2.4	11.4
99	515.471	4.57257	3.8227	0.420984	1.18374	241.239	243.29	9.96809	250.03	0.847132	35.3596	83.7933	3.47755	5.91393	0.0508266	0.0302592	14.5489	11.9379	14.2394	0.42846	0.180057	0.0316289	0.0288937	0.00779801	99.6065	0.393507	120	1.24E-05	0.000282428	999.918	0.0132561	793.772	4.55077	7	2.4	11.4
102	532.302	4.54111	3.85167	0.423433	1.18379	229.512	238.186	9.96825	250.03	0.850989	36.6395	82.5095	3.48938	5.90362	0.0507377	0.0301989	14.4743	11.9141	14.1827	0.42771	0.179291	0.0314662	0.0287447	0.00776075	99.641	0.359049	120	1.24E-05	0.000282422	999.918	0.0132986	793.801	4.69589	7	2.4	11.4
105	548.291	4.50755	3.88262	0.426088	1.18374	218.545	233.164	9.96841	250.03	0.859086	37.9615	81.1794	3.5012	5.89331	0.0506488	0.0301386	14.4002	11.8904	14.1262	0.426959	0.17853	0.0313045	0.0285966	0.00772374	99.6724	0.32759	120	1.24E-05	0.000282416	999.919	0.0133413	793.832	4.84026	7	2.4	11.4
108	563.453	4.47205	3.91544	0.428936	1.18357	208.289	228.258	9.96857	250.03	0.871152	39.3216	79.8072	3.51303	5.88299	0.0505598	0.0300786	14.3266	11.8666	14.0699	0.426208	0.177774	0.0311439	0.0284495	0.00768696	99.7011	0.298886	120	1.24E-05	0.00028241	999.919	0.0133842	793.865	4.9839	7	2.4	11.4
111	577.807	4.43471	3.95003	0.431964	1.18329	198.7	223.493	9.96873	250.03	0.886974	40.7161	78.3969	3.52486	5.87266	0.0504708	0.0300186	14.2535	11.843	14.0138	0.425457	0.177021	0.0309843	0.0283034	0.00765042	99.7273	0.272709	120	1.24E-05	0.000282405	999.919	0.0134272	793.9	5.1268	7	2.4	11.4
114	591.375	4.39565	3.98631	0.435162	1.18288	189.734	218.891	9.96889	250.03	0.906383	42.1414	76.9522	3.53669	5.86233	0.0503817	0.0299588	14.1808	11.8194	13.958	0.424705	0.176273	0.0308257	0.0281581	0.00761412	99.7512	0.248846	120	1.24E-05	0.000282399	999.92	0.0134704	793.936	5.26897	7	2.4	11.4
117	604.181	4.35495	4.02418	0.43852	1.18234	181.351	214.468	9.96905	250.03	0.929246	43.594	75.4767	3.54853	5.85199	0.0502925	0.0298991	14.1086	11.7958	13.9024	0.423952	0.175528	0.0306681	0.0280139	0.00757804	99.7729	0.227101	120	1.24E-05	0.000282393	999.92	0.0135138	793.974	5.41041	7	2.4	11.4
120	616.251	4.31272	4.06358	0.442029	1.18167	173.512	210.236	9.96921	250.03	0.955463	45.0707	73.9739	3.56036	5.84165	0.0502033	0.0298395	14.0368	11.7723	13.847	0.4232	0.174788	0.0305116	0.0278705	0.00754221	99.7927	0.207293	120	1.24E-05	0.000282388	999.92	0.0135573	794.013	5.55114	7	2.4	11.4
123	627.611	4.26903	4.10445	0.445681	1.18084	166.183	206.206	9.96936	250.03	0.984957	46.5681	72.4469	3.5722	5.8313	0.0501141	0.0297801	13.9655	11.7489	13.7919	0.422447	0.174052	0.030356	0.0277281	0.0075066	99.8107	0.189253	120	1.24E-05	0.000282382	999.921	0.013601	794.054	5.69115	7	2.4	11.4
126	638.287	4.22397	4.1467	0.449467	1.17986	159.33	202.384	9.96952	250.03	1.01767	48.0832	70.8991	3.58404	5.82094	0.0500248	0.0297208	13.8947	11.7255	13.737	0.421693	0.17332	0.0302014	0.0275866	0.00747121	99.8272	0.172826	120	1.24E-05	0.000282376	999.921	0.0136449	794.097	5.83045	7	2.4	11.4
129	648.306	4.17762	4.19029	0.453381	1.17872	152.92	198.773	9.96967	250.03	1.05356	49.613	69.3334	3.59589	5.81058	0.0499355	0.0296616	13.8243	11.7021	13.6823	0.420939	0.172592	0.0300478	0.027446	0.00743606	99.8421	0.157871	120	1.24E-05	0.000282371	999.921	0.0136889	794.14	5.96905	7	2.4	11.4
132	657.697	4.13004	4.23514	0.457414	1.1774	146.927	195.377	9.96982	250.03	1.09261	51.1545	67.7529	3.60773	5.80022	0.0498461	0.0296025	13.7543	11.6788	13.6279	0.420185	0.171868	0.0298952	0.0273062	0.00740113	99.8557	0.144256	120	1.24E-05	0.000282365	999.921	0.0137331	794.185	6.10694	7	2.4	11.4
135	666.484	4.08132	4.28121	0.46156	1.17591	141.321	192.195	9.96997	250.03	1.13479	52.705	66.1602	3.61958	5.78985	0.0497567	0.0295436	13.6848	11.6556	13.5736	0.419431	0.171147	0.0297436	0.0271674	0.00736642	99.8681	0.131862	120	1.24E-05	0.00028236	999.922	0.0137775	794.231	6.24413	7	2.4	11.4
138	674.695	4.03154	4.32842	0.465812	1.17423	136.078	189.227	9.97012	250.029	1.18011	54.2617	64.5582	3.63142	5.77947	0.0496672	0.0294848	13.6157	11.6324	13.5196	0.418676	0.170431	0.0295929	0.0270295	0.00733193	99.8794	0.12058	120	1.24E-05	0.000282354	999.922	0.0138221	794.279	6.38064	7	2.4	11.4
141	682.355	3.98075	4.37672	0.470162	1.17236	131.175	186.471	9.97027	250.029	1.22856	55.8219	62.9495	3.64327	5.76909	0.0495777	0.0294262	13.5471	11.6092	13.4659	0.417921	0.169719	0.0294432	0.0268924	0.00729766	99.8897	0.110309	120	1.24E-05	0.000282349	999.922	0.0138668	794.327	6.51645	7	2.4	11.4
144	689.488	3.92905	4.42606	0.474603	1.17029	126.588	183.924	9.97042	250.029	1.28015	57.3832	61.3367	3.65512	5.7587	0.0494882	0.0293676	13.4789	11.5861	13.4123	0.417165	0.16901	0.0292944	0.0267562	0.00726361	99.899	0.100959	120	1.24E-05	0.000282344	999.922	0.0139117	794.377	6.65158	7	2.4	11.4
147	696.118	3.87649	4.47636	0.479128	1.16802	122.299	181.583	9.97057	250.029	1.3349	58.9431	59.722	3.66697	5.74831	0.0493986	0.0293092	13.4111	11.5631	13.359	0.41641	0.168306	0.0291465	0.0266209	0.00722977	99.9076	0.0924457	120	1.24E-05	0.000282338	999.923	0.0139568	794.427	6.78603	7	2.4	11.4
150	702.269	3.82317	4.52756	0.483729	1.16554	118.286	179.445	9.97072	250.029	1.39282	60.4992	58.108	3.67882	5.73792	0.049309	0.0292509	13.3437	11.5401	13.3059	0.415654	0.167605	0.0289996	0.0264864	0.00719615	99.9153	0.0846931	120	1.24E-05	0.000282333	999.923	0.014002	794.478	6.9198	7	2.4	11.4
153	707.962	3.76915	4.5796	0.488401	1.16285	114.534	177.504	9.97086	250.029	1.45393	62.0494	56.4967	3.69067	5.72752	0.0492194	0.0291927	13.2768	11.5171	13.253	0.414898	0.166908	0.0288536	0.0263527	0.00716274	99.9224	0.0776324	120	1.24E-05	0.000282328	999.923	0.0140475	794.53	7.05291	7	2.4	11.4
156	713.217	3.7145	4.63243	0.493134	1.15994	111.026	175.757	9.97101	250.029	1.51825	63.5913	54.8904	3.70252	5.71712	0.0491297	0.0291347	13.2102	11.4943	13.2003	0.414141	0.166215	0.0287085	0.02622	0.00712954	99.9288	0.0712005	120	1.24E-05	0.000282322	999.924	0.0140931	794.583	7.18534	7	2.4	11.4
159	718.056	3.65931	4.68596	0.497921	1.15681	107.745	174.199	9.97115	250.029	1.58582	65.123	53.2911	3.71438	5.70671	0.04904	0.0290768	13.1441	11.4714	13.1479	0.413384	0.165525	0.0285644	0.026088	0.00709655	99.9347	0.0653401	120	1.24E-05	0.000282317	999.924	0.0141388	794.637	7.31711	7	2.4	11.4
162	722.497	3.60366	4.74013	0.502756	1.15346	104.679	172.824	9.9713	250.029	1.65665	66.6425	51.7008	3.72623	5.6963	0.0489502	0.029019	13.0784	11.4486	13.0956	0.412627	0.164839	0.0284211	0.0259569	0.00706377	99.94	0.0599993	120	1.24E-05	0.000282312	999.924	0.0141848	794.691	7.44822	7	2.4	11.4
165	726.558	3.54761	4.79487	0.50763	1.14988	101.813	171.629	9.97144	250.029	1.73078	68.1478	50.1214	3.73808	5.68589	0.0488605	0.0289613	13.0131	11.4259	13.0436	0.41187	0.164157	0.0282787	0.0258266	0.00703119	99.9449	0.0551307	120	1.24E-05	0.000282307	999.924	0.0142309	794.746	7.57868	7	2.4	11.4
