Time	ERKPP	AktPIPP	Akt	AktPIP3	AktPIP	ERK	ERKP	GS	HRG	MEK	MEKP	MEKPP	PI3K	PI3Kstar	PIP3	R	RP	RHRG	RHRG2	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	P_I	internalization	E	MKP3	PP2A
462	449.436	1.25751	7.34883	0.636653	0.75701	134.52	416.044	9.98205	250.024	20.5579	99.1051	0.337053	4.89454	4.65709	0.0399844	0.0238404	8.14112	9.40551	8.83722	0.337192	0.111187	0.0176699	0.0161278	0.00460632	99.9975	0.00247181	120	1.24E-05	0.000281931	999.942	0.0197663	797.309	17.8202	7	2.4	11.4
465	445.221	1.25403	7.35477	0.635768	0.755433	136.189	418.591	9.98213	250.024	20.7777	98.8944	0.327929	4.90587	4.6469	0.0398966	0.0237943	8.10456	9.3873	8.80301	0.336454	0.11077	0.0175904	0.0160551	0.00458816	99.9975	0.00247087	120	1.24E-05	0.000281928	999.942	0.0198331	797.315	17.9014	7	2.4	11.4
468	441.022	1.25058	7.36068	0.63488	0.753863	137.876	421.102	9.98221	250.024	20.9971	98.6835	0.319414	4.9172	4.63673	0.0398089	0.0237482	8.06819	9.36912	8.76895	0.335716	0.110355	0.0175113	0.0159829	0.0045701	99.9975	0.00247007	120	1.23E-05	0.000281925	999.942	0.0199001	797.321	17.9823	7	2.4	11.4
471	436.84	1.24715	7.36657	0.633989	0.752298	139.582	423.577	9.98229	250.024	21.2161	98.4724	0.311467	4.92852	4.62656	0.0397212	0.0237022	8.03202	9.35099	8.73503	0.334979	0.109941	0.0174327	0.0159111	0.00455214	99.9975	0.00246939	120	1.23E-05	0.000281922	999.942	0.0199673	797.327	18.0628	7	2.4	11.4
474	432.676	1.24374	7.37243	0.633094	0.750738	141.308	426.016	9.98236	250.024	21.4348	98.2612	0.304046	4.93983	4.6164	0.0396336	0.0236564	7.99604	9.3329	8.70125	0.334242	0.109529	0.0173544	0.0158396	0.00453428	99.9975	0.00246882	120	1.23E-05	0.00028192	999.942	0.0200348	797.333	18.1429	7	2.4	11.4
477	428.529	1.24036	7.37827	0.632195	0.749182	143.053	428.419	9.98244	250.024	21.6531	98.0498	0.297116	4.95113	4.60624	0.0395461	0.0236106	7.96026	9.31485	8.66761	0.333506	0.10912	0.0172766	0.0157686	0.00451652	99.9975	0.00246835	120	1.23E-05	0.000281917	999.942	0.0201025	797.339	18.2227	7	2.4	11.4
480	424.399	1.237	7.38408	0.631294	0.747631	144.817	430.785	9.98252	250.024	21.871	97.8384	0.290641	4.96242	4.5961	0.0394586	0.023565	7.92467	9.29684	8.63411	0.332771	0.108712	0.0171993	0.0156979	0.00449885	99.9975	0.00246798	120	1.23E-05	0.000281914	999.942	0.0201704	797.345	18.3021	7	2.4	11.4
483	420.287	1.23365	7.38987	0.63039	0.746084	146.6	433.113	9.9826	250.024	22.0885	97.6269	0.28459	4.9737	4.58596	0.0393712	0.0235194	7.88927	9.27887	8.60075	0.332036	0.108305	0.0171223	0.0156276	0.00448127	99.9975	0.0024677	120	1.23E-05	0.000281911	999.942	0.0202386	797.351	18.3812	7	2.4	11.4
486	416.193	1.23033	7.39565	0.629483	0.744541	148.402	435.405	9.98267	250.023	22.3057	97.4154	0.278933	4.98497	4.57583	0.0392839	0.023474	7.85407	9.26095	8.56753	0.331302	0.107901	0.0170457	0.0155577	0.0044638	99.9975	0.0024675	120	1.23E-05	0.000281908	999.942	0.0203071	797.356	18.4599	7	2.4	11.4
489	412.117	1.22702	7.4014	0.628574	0.743002	150.223	437.66	9.98275	250.023	22.5224	97.2039	0.273642	4.99622	4.56571	0.0391966	0.0234286	7.81905	9.24306	8.53445	0.330568	0.107498	0.0169696	0.0154882	0.00444641	99.9975	0.00246738	120	1.23E-05	0.000281906	999.942	0.0203758	797.362	18.5383	7	2.4	11.4
492	408.06	1.22373	7.40714	0.627662	0.741466	152.063	439.877	9.98282	250.023	22.7388	96.9925	0.268692	5.00747	4.5556	0.0391094	0.0233834	7.78422	9.22521	8.50151	0.329835	0.107098	0.0168939	0.0154191	0.00442912	99.9975	0.00246733	120	1.23E-05	0.000281903	999.943	0.0204447	797.368	18.6163	7	2.4	11.4
495	404.021	1.22046	7.41286	0.626748	0.739933	153.922	442.057	9.9829	250.023	22.9548	96.7812	0.264058	5.01871	4.54549	0.0390223	0.0233383	7.74957	9.2074	8.46871	0.329103	0.106699	0.0168185	0.0153503	0.00441193	99.9975	0.00246735	120	1.23E-05	0.0002819	999.943	0.0205139	797.374	18.694	7	2.4	11.4
498	400.001	1.2172	7.41856	0.625831	0.738403	155.8	444.199	9.98297	250.023	23.1704	96.5699	0.259718	5.02993	4.5354	0.0389353	0.0232932	7.71511	9.18963	8.43604	0.328371	0.106301	0.0167436	0.0152819	0.00439482	99.9975	0.00246743	120	1.23E-05	0.000281897	999.943	0.0205833	797.38	18.7713	7	2.4	11.4
501	395.999	1.21396	7.42426	0.624912	0.736876	157.698	446.303	9.98305	250.023	23.3855	96.3588	0.255651	5.04115	4.52531	0.0388483	0.0232483	7.68084	9.1719	8.40351	0.32764	0.105906	0.0166691	0.0152138	0.00437781	99.9975	0.00246756	120	1.23E-05	0.000281895	999.943	0.020653	797.385	18.8483	7	2.4	11.4
504	392.017	1.21073	7.42993	0.623991	0.735351	159.614	448.369	9.98312	250.023	23.6004	96.1478	0.251838	5.05235	4.51523	0.0387614	0.0232035	7.64675	9.15422	8.37111	0.326909	0.105512	0.016595	0.0151461	0.00436089	99.9975	0.00246776	120	1.23E-05	0.000281892	999.943	0.0207229	797.391	18.9249	7	2.4	11.4
507	388.053	1.20751	7.4356	0.623068	0.733829	161.55	450.397	9.9832	250.023	23.8148	95.937	0.248261	5.06354	4.50516	0.0386746	0.0231587	7.61284	9.13657	8.33885	0.326179	0.10512	0.0165213	0.0150788	0.00434406	99.9975	0.002468	120	1.23E-05	0.000281889	999.943	0.020793	797.397	19.0012	7	2.4	11.4
510	384.109	1.2043	7.44125	0.622143	0.732309	163.505	452.386	9.98327	250.023	24.0288	95.7263	0.244904	5.07473	4.49509	0.0385879	0.0231141	7.57911	9.11896	8.30672	0.32545	0.10473	0.0164479	0.0150119	0.00432732	99.9975	0.00246829	120	1.23E-05	0.000281887	999.943	0.0208635	797.403	19.0772	7	2.4	11.4
513	380.184	1.2011	7.44689	0.621217	0.730791	165.478	454.337	9.98334	250.023	24.2424	95.5159	0.24175	5.0859	4.48504	0.0385012	0.0230695	7.54556	9.10139	8.27473	0.324721	0.104342	0.016375	0.0149453	0.00431067	99.9975	0.00246862	120	1.23E-05	0.000281884	999.943	0.0209341	797.408	19.1528	7	2.4	11.4
516	376.279	1.19792	7.45252	0.620288	0.729275	167.471	456.25	9.98342	250.023	24.4556	95.3056	0.238785	5.09706	4.475	0.0384146	0.0230251	7.51219	9.08386	8.24287	0.323993	0.103955	0.0163024	0.014879	0.00429411	99.9975	0.00246899	120	1.23E-05	0.000281881	999.943	0.021005	797.414	19.2281	7	2.4	11.4
519	372.393	1.19474	7.45814	0.619358	0.727762	169.483	458.124	9.98349	250.023	24.6684	95.0956	0.235997	5.1082	4.46496	0.0383281	0.0229808	7.47899	9.06637	8.21114	0.323266	0.10357	0.0162303	0.0148132	0.00427763	99.9975	0.0024694	120	1.23E-05	0.000281879	999.943	0.0210762	797.42	19.303	7	2.4	11.4
522	368.527	1.19158	7.46375	0.618426	0.72625	171.514	459.959	9.98356	250.023	24.8809	94.8858	0.233372	5.11934	4.45493	0.0382417	0.0229365	7.44597	9.04891	8.17955	0.322539	0.103186	0.0161585	0.0147476	0.00426125	99.9975	0.00246984	120	1.23E-05	0.000281876	999.943	0.0211476	797.426	19.3777	7	2.4	11.4
525	364.681	1.18842	7.46935	0.617493	0.72474	173.564	461.756	9.98363	250.023	25.0929	94.6762	0.230898	5.13047	4.44492	0.0381554	0.0228924	7.41313	9.0315	8.14808	0.321813	0.102805	0.0160871	0.0146824	0.00424495	99.9975	0.00247031	120	1.23E-05	0.000281874	999.943	0.0212193	797.431	19.452	7	2.4	11.4
528	360.854	1.18528	7.47494	0.616558	0.723231	175.633	463.513	9.9837	250.023	25.3045	94.4669	0.228566	5.14158	4.43491	0.0380691	0.0228484	7.38046	9.01413	8.11675	0.321087	0.102425	0.0160161	0.0146176	0.00422874	99.9975	0.00247082	120	1.23E-05	0.000281871	999.944	0.0212912	797.437	19.5259	7	2.4	11.4
531	357.048	1.18214	7.48052	0.615621	0.721724	177.721	465.232	9.98377	250.023	25.5157	94.2579	0.226364	5.15268	4.42491	0.0379829	0.0228044	7.34796	8.99679	8.08555	0.320363	0.102046	0.0159454	0.0145531	0.00421262	99.9975	0.00247135	120	1.23E-05	0.000281868	999.944	0.0213634	797.443	19.5996	7	2.4	11.4
534	353.261	1.17901	7.48609	0.614683	0.720218	179.828	466.911	9.98384	250.023	25.7266	94.0492	0.224284	5.16378	4.41492	0.0378968	0.0227606	7.31564	8.9795	8.05448	0.319639	0.10167	0.0158752	0.014489	0.00419658	99.9975	0.00247191	120	1.23E-05	0.000281866	999.944	0.0214359	797.448	19.6729	7	2.4	11.4
537	349.495	1.17589	7.49166	0.613744	0.718714	181.954	468.551	9.98391	250.023	25.937	93.8407	0.222317	5.17485	4.40494	0.0378108	0.0227168	7.28348	8.96224	8.02354	0.318915	0.101295	0.0158053	0.0144252	0.00418062	99.9975	0.00247249	120	1.23E-05	0.000281863	999.944	0.0215086	797.454	19.7459	7	2.4	11.4
540	345.748	1.17277	7.49721	0.612803	0.717211	184.099	470.153	9.98398	250.023	26.147	93.6325	0.220456	5.18592	4.39496	0.0377248	0.0226732	7.2515	8.94502	7.99273	0.318193	0.100921	0.0157357	0.0143617	0.00416475	99.9975	0.0024731	120	1.23E-05	0.000281861	999.944	0.0215815	797.459	19.8186	7	2.4	11.4
543	342.022	1.16967	7.50276	0.611861	0.71571	186.263	471.714	9.98405	250.023	26.3566	93.4247	0.218691	5.19698	4.385	0.037639	0.0226297	7.21968	8.92785	7.96204	0.317471	0.100549	0.0156666	0.0142985	0.00414897	99.9975	0.00247372	120	1.23E-05	0.000281858	999.944	0.0216547	797.465	19.8909	7	2.4	11.4
546	338.317	1.16657	7.50831	0.610918	0.71421	188.446	473.237	9.98412	250.023	26.5659	93.2171	0.217018	5.20802	4.37505	0.0375532	0.0225862	7.18803	8.9107	7.93148	0.316749	0.100179	0.0155978	0.0142357	0.00413326	99.9975	0.00247437	120	1.23E-05	0.000281856	999.944	0.0217282	797.471	19.9629	7	2.4	11.4
549	334.632	1.16347	7.51384	0.609973	0.712711	190.648	474.72	9.98419	250.023	26.7747	93.0099	0.215428	5.21905	4.36511	0.0374675	0.0225429	7.15654	8.8936	7.90105	0.316029	0.0998106	0.0155293	0.0141733	0.00411764	99.9975	0.00247503	120	1.23E-05	0.000281853	999.944	0.0218019	797.476	20.0347	7	2.4	11.4
552	330.967	1.16039	7.51937	0.609028	0.711213	192.87	476.164	9.98426	250.022	26.9831	92.803	0.213917	5.23007	4.35517	0.0373819	0.0224996	7.12522	8.87654	7.87075	0.315309	0.0994437	0.0154613	0.0141111	0.00410211	99.9975	0.00247571	120	1.23E-05	0.00028185	999.944	0.0218759	797.482	20.1061	7	2.4	11.4
555	327.322	1.15731	7.52489	0.608081	0.709716	195.11	477.568	9.98432	250.022	27.1911	92.5964	0.212478	5.24108	4.34525	0.0372964	0.0224565	7.09407	8.85951	7.84057	0.31459	0.0990783	0.0153936	0.0140493	0.00408665	99.9975	0.0024764	120	1.23E-05	0.000281848	999.944	0.0219502	797.488	20.1772	7	2.4	11.4
558	323.699	1.15424	7.53041	0.607133	0.708221	197.369	478.932	9.98439	250.022	27.3987	92.3902	0.211107	5.25208	4.33534	0.037211	0.0224134	7.06308	8.84253	7.81052	0.313872	0.0987145	0.0153262	0.0139878	0.00407128	99.9975	0.00247711	120	1.23E-05	0.000281845	999.944	0.0220247	797.493	20.248	7	2.4	11.4
561	320.096	1.15117	7.53592	0.606183	0.706726	199.647	480.257	9.98446	250.022	27.606	92.1842	0.209799	5.26306	4.32543	0.0371256	0.0223704	7.03225	8.82558	7.78059	0.313154	0.0983523	0.0152592	0.0139267	0.00405598	99.9975	0.00247783	120	1.23E-05	0.000281843	999.944	0.0220994	797.499	20.3184	7	2.4	11.4
564	316.513	1.14811	7.54142	0.605233	0.705232	201.944	481.543	9.98453	250.022	27.8128	91.9787	0.208548	5.27403	4.31554	0.0370404	0.0223276	7.00158	8.80867	7.75079	0.312437	0.0979917	0.0151925	0.0138658	0.00404077	99.9975	0.00247857	120	1.23E-05	0.000281841	999.944	0.0221745	797.504	20.3886	7	2.4	11.4
567	312.951	1.14506	7.54692	0.604282	0.70374	204.26	482.789	9.98459	250.022	28.0192	91.7735	0.207352	5.28499	4.30566	0.0369552	0.0222848	6.97107	8.79179	7.72111	0.311721	0.0976326	0.0151262	0.0138053	0.00402564	99.9975	0.00247931	120	1.23E-05	0.000281838	999.945	0.0222498	797.51	20.4585	7	2.4	11.4
570	309.41	1.14201	7.55242	0.603329	0.702248	206.595	483.994	9.98466	250.022	28.2252	91.5686	0.206206	5.29594	4.29578	0.0368701	0.0222421	6.94072	8.77496	7.69156	0.311005	0.0972751	0.0150603	0.0137451	0.00401058	99.9975	0.00248007	120	1.23E-05	0.000281836	999.945	0.0223253	797.516	20.528	7	2.4	11.4
573	305.89	1.13896	7.5579	0.602376	0.700758	208.949	485.161	9.98472	250.022	28.4308	91.3641	0.205107	5.30687	4.28592	0.0367852	0.0221995	6.91052	8.75816	7.66213	0.310291	0.0969191	0.0149946	0.0136852	0.00399561	99.9975	0.00248084	120	1.23E-05	0.000281833	999.945	0.0224012	797.521	20.5973	7	2.4	11.4
576	302.391	1.13593	7.56338	0.601422	0.699268	211.322	486.287	9.98479	250.022	28.636	91.1599	0.204052	5.31779	4.27607	0.0367003	0.0221571	6.88049	8.7414	7.63282	0.309577	0.0965647	0.0149294	0.0136256	0.00398071	99.9975	0.00248161	120	1.23E-05	0.000281831	999.945	0.0224773	797.527	20.6662	7	2.4	11.4
579	298.913	1.1329	7.56886	0.600466	0.69778	213.714	487.374	9.98485	250.022	28.8409	90.9561	0.203036	5.3287	4.26622	0.0366155	0.0221147	6.85061	8.72468	7.60363	0.308864	0.0962117	0.0148644	0.0135663	0.00396589	99.9975	0.0024824	120	1.23E-05	0.000281828	999.945	0.0225536	797.532	20.7349	7	2.4	11.4
582	295.455	1.12987	7.57433	0.59951	0.696292	216.124	488.42	9.98492	250.022	29.0453	90.7527	0.202059	5.3396	4.25639	0.0365307	0.0220724	6.82088	8.70799	7.57456	0.308151	0.0958603	0.0147998	0.0135074	0.00395115	99.9975	0.00248319	120	1.23E-05	0.000281826	999.945	0.0226303	797.538	20.8033	7	2.4	11.4
585	292.019	1.12685	7.57979	0.598553	0.694805	218.554	489.427	9.98498	250.022	29.2493	90.5496	0.201116	5.35048	4.24657	0.0364461	0.0220302	6.79131	8.69135	7.54561	0.307439	0.0955104	0.0147356	0.0134487	0.00393648	99.9975	0.00248399	120	1.23E-05	0.000281823	999.945	0.0227072	797.543	20.8713	7	2.4	11.4
588	288.603	1.12383	7.58525	0.597595	0.693319	221.002	490.394	9.98505	250.022	29.4529	90.3469	0.200205	5.36135	4.23676	0.0363616	0.0219881	6.7619	8.67474	7.51679	0.306729	0.095162	0.0146716	0.0133904	0.00392189	99.9975	0.00248479	120	1.23E-05	0.000281821	999.945	0.0227844	797.549	20.9391	7	2.4	11.4
591	285.209	1.12082	7.59071	0.596636	0.691834	223.47	491.322	9.98511	250.022	29.6561	90.1445	0.199325	5.37221	4.22696	0.0362771	0.0219461	6.73263	8.65816	7.48808	0.306019	0.0948151	0.014608	0.0133323	0.00390738	99.9975	0.0024856	120	1.23E-05	0.000281819	999.945	0.0228618	797.554	21.0066	7	2.4	11.4
594	281.836	1.11782	7.59616	0.595676	0.69035	225.956	492.209	9.98517	250.022	29.859	89.9426	0.198473	5.38305	4.21717	0.0361928	0.0219042	6.70352	8.64163	7.45949	0.305309	0.0944696	0.0145448	0.0132746	0.00389294	99.9975	0.00248642	120	1.23E-05	0.000281816	999.945	0.0229395	797.56	21.0737	7	2.4	11.4
597	278.483	1.11482	7.6016	0.594715	0.688867	228.461	493.056	9.98524	250.022	30.0614	89.741	0.197647	5.39388	4.20739	0.0361086	0.0218623	6.67455	8.62513	7.43103	0.304601	0.0941256	0.0144818	0.0132171	0.00387858	99.9975	0.00248724	120	1.23E-05	0.000281814	999.945	0.0230175	797.565	21.1406	7	2.4	11.4
600	275.152	1.11182	7.60704	0.593754	0.687385	230.984	493.863	9.9853	250.022	30.2634	89.5397	0.196845	5.4047	4.19762	0.0360244	0.0218206	6.64574	8.60867	7.40268	0.303893	0.0937831	0.0144192	0.01316	0.00386429	99.9975	0.00248807	120	1.23E-05	0.000281811	999.945	0.0230958	797.571	21.2072	7	2.4	11.4
603	271.842	1.10883	7.61247	0.592791	0.685904	233.527	494.631	9.98536	250.022	30.465	89.3389	0.196066	5.41551	4.18786	0.0359403	0.021779	6.61707	8.59224	7.37444	0.303186	0.0934421	0.0143569	0.0131031	0.00385008	99.9975	0.00248891	120	1.23E-05	0.000281809	999.945	0.0231743	797.577	21.2735	7	2.4	11.4
606	268.554	1.10585	7.6179	0.591828	0.684423	236.088	495.358	9.98542	250.022	30.6663	89.1384	0.195308	5.4263	4.17812	0.0358564	0.0217374	6.58855	8.57586	7.34633	0.30248	0.0931025	0.0142949	0.0130466	0.00383593	99.9975	0.00248974	120	1.23E-05	0.000281807	999.945	0.0232531	797.582	21.3396	7	2.4	11.4
609	265.286	1.10287	7.62332	0.590864	0.682944	238.668	496.046	9.98548	250.022	30.8671	88.9383	0.194569	5.43708	4.16838	0.0357725	0.021696	6.56018	8.55951	7.31833	0.301775	0.0927643	0.0142333	0.0129903	0.00382187	99.9975	0.00249058	120	1.23E-05	0.000281805	999.945	0.0233322	797.588	21.4053	7	2.4	11.4
612	262.04	1.09989	7.62874	0.589899	0.681465	241.267	496.693	9.98555	250.022	31.0675	88.7386	0.193849	5.44784	4.15866	0.0356887	0.0216546	6.53195	8.54319	7.29044	0.30107	0.0924276	0.0141719	0.0129343	0.00380787	99.9975	0.00249143	120	1.23E-05	0.000281802	999.945	0.0234115	797.593	21.4708	7	2.4	11.4
615	258.815	1.09692	7.63415	0.588934	0.679987	243.884	497.301	9.98561	250.022	31.2676	88.5393	0.193145	5.4586	4.14894	0.0356051	0.0216134	6.50387	8.52691	7.26268	0.300366	0.0920923	0.0141109	0.0128786	0.00379394	99.9975	0.00249227	120	1.23E-05	0.0002818	999.945	0.0234912	797.599	21.5359	7	2.4	11.4
618	255.611	1.09396	7.63956	0.587968	0.67851	246.52	497.868	9.98567	250.022	31.4672	88.3403	0.192458	5.46934	4.13924	0.0355215	0.0215722	6.47593	8.51067	7.23502	0.299663	0.0917584	0.0140502	0.0128232	0.00378009	99.9975	0.00249312	120	1.23E-05	0.000281797	999.945	0.0235711	797.604	21.6008	7	2.4	11.4
621	252.429	1.091	7.64497	0.587001	0.677034	249.175	498.396	9.98573	250.022	31.6665	88.1417	0.191785	5.48006	4.12955	0.035438	0.0215311	6.44813	8.49447	7.20749	0.298961	0.091426	0.0139898	0.0127681	0.00376631	99.9975	0.00249398	120	1.23E-05	0.000281795	999.946	0.0236513	797.61	21.6655	7	2.4	11.4
624	249.268	1.08804	7.65036	0.586033	0.675559	251.848	498.884	9.98579	250.021	31.8653	87.9435	0.191126	5.49077	4.11987	0.0353546	0.0214902	6.42048	8.4783	7.18006	0.29826	0.0910949	0.0139297	0.0127133	0.0037526	99.9975	0.00249483	120	1.23E-05	0.000281793	999.946	0.0237317	797.615	21.7298	7	2.4	11.4
627	246.128	1.08509	7.65576	0.585065	0.674085	254.54	499.331	9.98585	250.021	32.0638	87.7457	0.19048	5.50147	4.1102	0.0352714	0.0214493	6.39297	8.46217	7.15275	0.29756	0.0907652	0.01387	0.0126587	0.00373896	99.9975	0.00249569	120	1.23E-05	0.000281791	999.946	0.0238125	797.62	21.7939	7	2.4	11.4
630	243.01	1.08215	7.66114	0.584096	0.672612	257.251	499.739	9.98591	250.021	32.2619	87.5483	0.189846	5.51215	4.10055	0.0351882	0.0214085	6.3656	8.44607	7.12556	0.29686	0.0904369	0.0138105	0.0126044	0.00372539	99.9975	0.00249655	120	1.23E-05	0.000281788	999.946	0.0238935	797.626	21.8577	7	2.4	11.4
633	239.913	1.07921	7.66653	0.583126	0.67114	259.98	500.107	9.98597	250.021	32.4595	87.3512	0.189223	5.52283	4.0909	0.0351051	0.0213678	6.33836	8.43001	7.09847	0.296161	0.09011	0.0137513	0.0125505	0.00371189	99.9975	0.00249741	120	1.23E-05	0.000281786	999.946	0.0239748	797.631	21.9212	7	2.4	11.4
636	236.838	1.07627	7.6719	0.582156	0.669669	262.727	500.435	9.98603	250.021	32.6568	87.1546	0.188611	5.53348	4.08127	0.0350221	0.0213271	6.31127	8.41399	7.0715	0.295464	0.0897845	0.0136924	0.0124967	0.00369846	99.9975	0.00249827	120	1.23E-05	0.000281784	999.946	0.0240564	797.637	21.9844	7	2.4	11.4
639	233.784	1.07334	7.67728	0.581185	0.668198	265.493	500.723	9.98608	250.021	32.8537	86.9583	0.188008	5.54413	4.07165	0.0349393	0.0212866	6.28431	8.398	7.04464	0.294767	0.0894603	0.0136339	0.0124433	0.0036851	99.9975	0.00249914	120	1.23E-05	0.000281781	999.946	0.0241383	797.642	22.0474	7	2.4	11.4
642	230.751	1.07041	7.68264	0.580214	0.666729	268.277	500.971	9.98614	250.021	33.0502	86.7624	0.187415	5.55475	4.06204	0.0348565	0.0212462	6.25749	8.38205	7.01789	0.29407	0.0891375	0.0135756	0.0123901	0.0036718	99.9975	0.00250001	120	1.23E-05	0.000281779	999.946	0.0242205	797.648	22.1101	7	2.4	11.4
645	227.74	1.06749	7.688	0.579242	0.665261	271.08	501.179	9.9862	250.021	33.2463	86.5669	0.18683	5.56537	4.05244	0.0347738	0.0212058	6.23081	8.36613	6.99125	0.293375	0.0888161	0.0135176	0.0123372	0.00365858	99.9975	0.00250087	120	1.23E-05	0.000281777	999.946	0.0243029	797.653	22.1726	7	2.4	11.4
648	224.751	1.06458	7.69336	0.578269	0.663793	273.901	501.348	9.98626	250.021	33.442	86.3717	0.186253	5.57597	4.04285	0.0346912	0.0211656	6.20426	8.35025	6.96472	0.292681	0.088496	0.01346	0.0122846	0.00364542	99.9975	0.00250174	120	1.23E-05	0.000281775	999.946	0.0243857	797.659	22.2347	7	2.4	11.4
651	221.783	1.06167	7.69871	0.577296	0.662327	276.741	501.477	9.98632	250.021	33.6374	86.177	0.185684	5.58656	4.03328	0.0346088	0.0211254	6.17785	8.33441	6.9383	0.291987	0.0881772	0.0134026	0.0122322	0.00363232	99.9975	0.00250261	120	1.23E-05	0.000281772	999.946	0.0244687	797.664	22.2967	7	2.4	11.4
654	218.836	1.05876	7.70406	0.576322	0.660861	279.598	501.565	9.98637	250.021	33.8323	85.9826	0.185121	5.59713	4.02372	0.0345264	0.0210853	6.15157	8.3186	6.91199	0.291294	0.0878598	0.0133455	0.0121801	0.0036193	99.9975	0.00250348	120	1.23E-05	0.00028177	999.946	0.024552	797.67	22.3583	7	2.4	11.4
657	215.911	1.05586	7.7094	0.575347	0.659397	282.474	501.615	9.98643	250.021	34.0268	85.7886	0.184566	5.60769	4.01416	0.0344442	0.0210454	6.12542	8.30282	6.88579	0.290602	0.0875437	0.0132887	0.0121283	0.00360634	99.9975	0.00250435	120	1.23E-05	0.000281768	999.946	0.0246356	797.675	22.4197	7	2.4	11.4
660	213.007	1.05296	7.71473	0.574372	0.657934	285.369	501.624	9.98649	250.021	34.221	85.595	0.184016	5.61823	4.00463	0.034362	0.0210055	6.09941	8.28708	6.8597	0.289911	0.0872289	0.0132321	0.0120767	0.00359344	99.9975	0.00250523	120	1.23E-05	0.000281766	999.946	0.0247195	797.68	22.4808	7	2.4	11.4
663	210.126	1.05007	7.72006	0.573397	0.656471	288.281	501.594	9.98654	250.021	34.4147	85.4018	0.183473	5.62876	3.9951	0.03428	0.0209657	6.07352	8.27138	6.83371	0.289221	0.0869154	0.0131759	0.0120254	0.00358062	99.9975	0.0025061	120	1.23E-05	0.000281764	999.946	0.0248037	797.686	22.5417	7	2.4	11.4
666	207.265	1.04718	7.72539	0.572421	0.65501	291.211	501.524	9.9866	250.021	34.6081	85.209	0.182934	5.63928	3.98558	0.034198	0.0209259	6.04777	8.25571	6.80783	0.288532	0.0866032	0.01312	0.0119744	0.00356785	99.9975	0.00250697	120	1.23E-05	0.000281761	999.946	0.0248881	797.691	22.6023	7	2.4	11.4
669	204.426	1.0443	7.73071	0.571444	0.65355	294.16	501.414	9.98665	250.021	34.8011	85.0165	0.182401	5.64978	3.97608	0.0341162	0.0208863	6.02215	8.24008	6.78206	0.287844	0.0862923	0.0130643	0.0119236	0.00355515	99.9975	0.00250785	120	1.23E-05	0.000281759	999.946	0.0249729	797.697	22.6626	7	2.4	11.4
672	201.609	1.04142	7.73602	0.570467	0.652091	297.126	501.265	9.98671	250.021	34.9937	84.8244	0.181873	5.66027	3.96659	0.0340345	0.0208468	5.99665	8.22448	6.7564	0.287156	0.0859827	0.0130089	0.011873	0.00354252	99.9975	0.00250872	120	1.23E-05	0.000281757	999.946	0.025058	797.702	22.7227	7	2.4	11.4
675	198.813	1.03855	7.74133	0.56949	0.650632	300.11	501.076	9.98676	250.021	35.1859	84.6327	0.18135	5.67074	3.95711	0.0339529	0.0208073	5.97128	8.20892	6.73084	0.28647	0.0856744	0.0129538	0.0118228	0.00352995	99.9975	0.00250959	120	1.23E-05	0.000281755	999.946	0.0251433	797.707	22.7826	7	2.4	11.4
678	196.039	1.03568	7.74663	0.568512	0.649175	303.113	500.848	9.98682	250.021	35.3777	84.4414	0.180831	5.6812	3.94765	0.0338714	0.020768	5.94604	8.19339	6.70539	0.285784	0.0853673	0.012899	0.0117727	0.00351744	99.9975	0.00251047	120	1.23E-05	0.000281753	999.946	0.0252289	797.713	22.8421	7	2.4	11.4
681	193.287	1.03282	7.75193	0.567533	0.647719	306.133	500.581	9.98687	250.021	35.5692	84.2505	0.180316	5.69164	3.9382	0.03379	0.0207287	5.92093	8.1779	6.68004	0.2851	0.0850615	0.0128444	0.011723	0.00350499	99.9975	0.00251134	120	1.23E-05	0.00028175	999.946	0.0253149	797.718	22.9015	7	2.4	11.4
684	190.556	1.02996	7.75722	0.566554	0.646265	309.171	500.274	9.98693	250.021	35.7602	84.06	0.179805	5.70207	3.92876	0.0337087	0.0206895	5.89594	8.16244	6.6548	0.284416	0.084757	0.0127901	0.0116734	0.00349261	99.9975	0.00251222	120	1.23E-05	0.000281748	999.946	0.0254011	797.724	22.9606	7	2.4	11.4
687	187.846	1.02711	7.76251	0.565575	0.644811	312.226	499.927	9.98698	250.021	35.9509	83.8698	0.179298	5.71249	3.91933	0.0336275	0.0206504	5.87108	8.14701	6.62966	0.283733	0.0844538	0.0127361	0.0116242	0.00348029	99.9975	0.00251309	120	1.23E-05	0.000281746	999.946	0.0254876	797.729	23.0194	7	2.4	11.4
690	185.159	1.02426	7.76779	0.564595	0.643358	315.3	499.542	9.98704	250.021	36.1412	83.6801	0.178794	5.72289	3.90991	0.0335464	0.0206114	5.84634	8.13162	6.60462	0.283051	0.0841518	0.0126824	0.0115751	0.00346803	99.9975	0.00251397	120	1.23E-05	0.000281744	999.946	0.0255745	797.734	23.078	7	2.4	11.4
